Task,Model,Dataset_Type,Accuracy,MCC,Sensitivity,Specificity,TP,FN,FP,TN
IC-MP,Logistic Regression,old,0.9813186813186813,0.8380596186066741,0.7333333333333333,0.9988235294117647,44,16,1,849
IT-MP,Logistic Regression,old,0.9543478260869566,0.6434244043901179,0.5857142857142857,0.9847058823529412,41,29,13,837
IC-IT,CNN,old,0.9,0.8127992189225606,0.7833333333333333,1.0,47,13,0,70
IC-MP,Logistic Regression,new,0.9940625412323526,0.9019572114410599,0.8653061224489796,0.9983637851104445,424,66,24,14644
IT-MP,Logistic Regression,new,0.9486922788136654,0.6767877002779787,0.741248097412481,0.9672757022088901,974,340,480,14188
IC-IT,CNN,new,0.9467849223946785,0.8634465155461271,0.8408163265306122,0.9863013698630136,412,78,18,1296
