Task,Model,Accuracy,MCC,Sensitivity,Specificity
IC-MP,Logistic Regression,0.9940625412323526,0.9019572114410599,0.8653061224489796,0.9983637851104445
IT-MP,Logistic Regression,0.9486922788136654,0.6767877002779787,0.741248097412481,0.9672757022088901
IC-IT,CNN,0.9467849223946785,0.8634465155461271,0.8408163265306122,0.9863013698630136
