number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
0,0.0,0.3466966891605482,"[3, 5]",0.00639610645953542,RMSprop,"[64, 32]"
27,0.0,0.3146298592785028,"[3, 5]",0.004402858151413623,Adam,"[64, 32, 16, 8]"
28,0.0,0.354503095297947,"[3, 5, 7]",0.0012949221552718173,SGD,"[64, 32]"
29,0.0,0.23820353696022717,"[5, 7]",9.175841076248347e-05,RMSprop,"[64, 32, 16]"
30,0.0,0.23552062121105827,"[5, 7]",0.0003293892870975304,Adam,"[64, 32]"
31,0.0,0.28657114171455556,"[5, 7]",3.432371491249604e-05,Adam,"[64, 32]"
32,0.0,0.26992637735337877,"[5, 7]",0.0009026963697224562,Adam,"[64, 32]"
33,0.0,0.20137864270796865,"[5, 7]",0.00012833504816955416,Adam,"[64, 32]"
34,0.0,0.22214553802414685,"[5, 7]",5.872090087678636e-05,RMSprop,"[64, 32]"
35,0.0,0.2531106898052063,"[3, 5]",0.0005544382176865964,SGD,"[64, 32]"
36,0.0,0.2209904522049931,"[5, 7]",1.9028415478300637e-05,RMSprop,"[64, 32, 16]"
37,0.0,0.2893646281351928,"[3, 5, 7]",0.00023056099436782708,Adam,"[64, 32, 16, 8]"
38,0.0,0.3195777540617907,"[3, 5]",1.4419357882483192e-05,RMSprop,"[64, 32]"
39,0.0,0.27521433240668597,"[5, 7]",3.629338902619946e-05,RMSprop,"[64, 32, 16, 8]"
40,0.0,0.3052818163393668,"[3, 5]",0.009949848220159018,Adam,"[64, 32]"
41,0.0,0.33333904169510287,"[5, 7]",0.0011303410359363093,SGD,"[64, 32]"
42,0.0,0.28700353693046254,"[5, 7]",0.00011170794932942229,SGD,"[64, 32]"
43,0.0,0.21099674672056046,"[5, 7]",0.0006833932382957111,SGD,"[64, 32]"
44,0.0,0.3539409003568808,"[5, 7]",0.00018495737348444446,SGD,"[64, 32, 16, 8]"
45,0.0,0.22506315411713163,"[3, 5, 7]",1.1435705639567904e-05,RMSprop,"[64, 32, 16]"
46,0.0,0.3257462116387343,"[3, 5]",4.817766673465174e-05,RMSprop,"[64, 32]"
47,0.0,0.3038315533656583,"[5, 7]",1.8938073021563077e-05,SGD,"[64, 32, 16, 8]"
26,0.0,0.27841792083013983,"[5, 7]",0.016129844975819423,RMSprop,"[64, 32]"
25,0.0,0.25502570045840756,"[3, 5]",0.0005395855150330896,Adam,"[64, 32]"
24,0.0,0.2963538118849807,"[5, 7]",0.002030299931512059,Adam,"[64, 32]"
23,0.0,0.20007855735132193,"[5, 7]",0.002703300477728263,Adam,"[64, 32]"
1,0.0,0.3111866778855284,"[5, 7]",5.156834863032842e-05,RMSprop,"[64, 32, 16, 8]"
2,0.0,0.2053479219488033,"[5, 7]",0.005864773126411664,Adam,"[64, 32]"
3,0.0,0.21959129420554196,"[5, 7]",5.608375608958447e-05,Adam,"[64, 32]"
4,0.0,0.2867036103247069,"[5, 7]",0.0012701654673232363,SGD,"[64, 32]"
5,0.0,0.277988090032927,"[3, 5]",0.0006600503622014491,RMSprop,"[64, 32, 16]"
6,0.0,0.2145285140243331,"[3, 5, 7]",1.3806931684493506e-05,RMSprop,"[64, 32, 16, 8]"
7,0.0,0.43343970974781504,"[3, 5]",0.010401346444988682,RMSprop,"[64, 32]"
8,0.0,0.33022092786033763,"[5, 7]",0.007150588997989789,RMSprop,"[64, 32, 16, 8]"
9,0.0,0.21646107346166116,"[3, 5, 7]",0.0009552006917699356,RMSprop,"[64, 32, 16]"
10,0.0,0.40028121782003745,"[3, 5]",0.08846271874436999,SGD,"[64, 32]"
48,0.0,0.34248055636801344,"[5, 7]",6.158718407905085e-05,RMSprop,"[64, 32]"
11,0.0,0.37274128326945644,"[3, 5]",8.229321542271224e-05,RMSprop,"[64, 32, 16, 8]"
13,0.0,0.3309713726948984,"[3, 5]",0.00026228888394805425,RMSprop,"[64, 32, 16, 8]"
14,0.0,0.36701172037842067,"[3, 5, 7]",2.530334898592692e-05,Adam,"[64, 32, 16]"
15,0.0,0.4982030808410946,"[3, 5]",1.1274415650713725e-05,SGD,"[64, 32]"
16,0.0,0.3027002246750558,"[5, 7]",3.1015874978903744e-05,RMSprop,"[64, 32, 16, 8]"
17,0.0,0.4000589938196144,"[3, 5]",0.00018421982513562867,RMSprop,"[64, 32]"
18,0.0,0.3394920558859789,"[5, 7]",5.801325373877309e-05,Adam,"[64, 32, 16, 8]"
19,0.0,0.26538668290684175,"[3, 5, 7]",0.0020888685189214494,SGD,"[64, 32, 16]"
20,0.0,0.31375347038718615,"[5, 7]",0.00038896877646494286,RMSprop,"[64, 32, 16, 8]"
21,0.0,0.25300961942543226,"[5, 7]",0.004516743302021582,Adam,"[64, 32]"
22,0.0,0.2363412489369334,"[5, 7]",0.02039959612119608,Adam,"[64, 32]"
12,0.0,0.4632107160250116,"[5, 7]",0.00016321677621308208,RMSprop,"[64, 32, 16, 8]"
49,0.0,0.2644576726429493,"[3, 5]",0.00015074881815142516,SGD,"[64, 32, 16, 8]"
