,svm,rf,knn,lr
svm,1.0,2.7126417825485706e-18,7.675362571000898e-15,1.0224720302820414e-23
rf,2.71264178254859e-18,1.0,6.6999102983652605e-15,7.497534123045403e-19
knn,7.67536257100095e-15,6.699910298365197e-15,1.0,1.2998461118335896e-15
lr,1.022472030282034e-23,7.497534123045403e-19,1.2998461118336006e-15,1.0
