,svm,rf,knn,lr,mlp
svm,1.0,9.382204566394318e-09,6.028153286644496e-27,2.7866039334668997e-36,9.713991023648618e-43
rf,9.382204566395586e-09,1.0,1.4683528461107072e-06,9.382204566395586e-09,2.5268117624217164e-08
knn,6.0281532866440785e-27,1.4683528461105097e-06,1.0,6.0281532866440785e-27,2.332304218521378e-30
lr,2.7866039334668997e-36,9.382204566394318e-09,6.028153286644496e-27,1.0,9.713991023648618e-43
mlp,9.713991023652346e-43,2.5268117624226498e-08,2.3323042185227684e-30,9.713991023652346e-43,1.0
