number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
2,0.712311956765119,0.40115577706452565,"[3, 5, 7]",0.003477244566602761,Adam,"[128, 64, 32]"
90,0.7741207528277434,0.34366012697951276,"[3, 5, 7]",0.0009328436329004636,Adam,"[128, 64, 32]"
1,0.7741207528277434,0.23137975493043267,"[3, 5, 7]",1.4751877808997789e-05,Adam,"[128, 64, 32]"
60,0.7741207528277434,0.45259101318098693,"[3, 5, 7]",0.0013265054743098318,Adam,"[128, 64, 32]"
84,0.7760350264197887,0.404323442837675,"[3, 5, 7]",0.0007141136633169884,Adam,"[128, 64, 32]"
76,0.7760350264197887,0.40966922372189685,"[3, 5, 7]",0.0005591512119367933,Adam,"[128, 64, 32]"
68,0.7760350264197887,0.35306743590668754,"[3, 5, 7]",0.000823037415866689,Adam,"[128, 64, 32]"
0,0.7760350264197887,0.3372008463440668,"[3, 5, 7]",0.0031687916508283155,Adam,"[128, 64, 32]"
16,0.8116984007956981,0.46160982092698,"[3, 5, 7]",8.657630640683412e-05,Adam,"[128, 64, 32]"
3,0.8116984007956981,0.444978808769133,"[3, 5, 7]",0.0003117555795816545,Adam,"[128, 64, 32]"
81,0.8116984007956981,0.34830424985191105,"[3, 5, 7]",0.00047614576337957275,Adam,"[128, 64, 32]"
80,0.8116984007956981,0.43529974427272244,"[3, 5, 7]",0.00021375403321062463,Adam,"[128, 64, 32]"
4,0.8116984007956981,0.345963871819855,"[3, 5, 7]",0.0006067418541203344,Adam,"[128, 64, 32]"
69,0.8116984007956981,0.3046350738718815,"[3, 5, 7]",0.0002487729960232787,Adam,"[128, 64, 32]"
15,0.8116984007956981,0.4107616940012277,"[3, 5, 7]",0.0006672943536953352,Adam,"[128, 64, 32]"
10,0.8116984007956981,0.43403558140934667,"[3, 5, 7]",0.00014092576004488962,Adam,"[128, 64, 32]"
12,0.8116984007956981,0.31706975134887555,"[3, 5, 7]",0.00021446696766452594,Adam,"[128, 64, 32]"
55,0.8116984007956981,0.42241269810185955,"[3, 5, 7]",0.0001747841039167694,Adam,"[128, 64, 32]"
85,0.8116984007956981,0.3720328019178009,"[3, 5, 7]",0.00034273449248754437,Adam,"[128, 64, 32]"
45,0.8116984007956981,0.3410101711606391,"[3, 5, 7]",0.00021800220420396395,Adam,"[128, 64, 32]"
20,0.8116984007956981,0.3451884119173548,"[3, 5, 7]",0.0002161651577536262,Adam,"[128, 64, 32]"
17,0.8116984007956981,0.3698671117958349,"[3, 5, 7]",0.00035437643474026906,Adam,"[128, 64, 32]"
51,0.8116984007956981,0.45417827968593555,"[3, 5, 7]",0.00026167788997714453,Adam,"[128, 64, 32]"
65,0.8171428571428572,0.3574765370354084,"[3, 5, 7]",0.0008398855009719423,Adam,"[128, 64, 32]"
75,0.8516413800967167,0.3784207660603389,"[3, 5, 7]",0.0007289844626581024,Adam,"[128, 64, 32]"
