,svm,rf,knn,lr,mlp
svm,1.0,2.4115431251789587e-11,9.153955116217688e-38,3.4227474446358615e-58,2.787120662564415e-69
rf,2.4115431251798046e-11,1.0,4.475870092941061e-14,1.1469884067446766e-13,1.3095265227906879e-11
knn,9.153955116220538e-38,4.475870092940298e-14,1.0,1.2002834032196726e-30,3.35644379597884e-37
lr,3.422747444634794e-58,1.1469884067437473e-13,1.2002834032195342e-30,1.0,2.4878618096138912e-55
mlp,2.787120662564177e-69,1.3095265227896933e-11,3.3564437959774165e-37,2.4878618096135388e-55,1.0
