mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
3.6707277297973633,0.2722169869458015,0.013543510437011718,0.0010025532446868296,relu,"(50,)",constant,"{'activation': 'relu', 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.8571428571428571,0.8541666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.8797619047619047,0.030152202718842714,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8821428571428571,0.02672612419124247,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8666666666666667,0.8942307692307693,0.8846153846153846,0.875,0.8846153846153846,0.8810256410256411,0.009408893913799368,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.787587546894285,0.7715167498104596,0.7482775566596935,0.7715167498104596,0.7622082920635509,0.019572414837613007,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.512238597869873,0.07141008834372427,0.022048187255859376,0.007428930913343831,relu,"(50,)",invscaling,"{'activation': 'relu', 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",0.8571428571428571,0.8541666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.8797619047619047,0.030152202718842714,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8821428571428571,0.02672612419124247,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8666666666666667,0.8942307692307693,0.8846153846153846,0.875,0.8846153846153846,0.8810256410256411,0.009408893913799368,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.787587546894285,0.7715167498104596,0.7482775566596935,0.7715167498104596,0.7622082920635509,0.019572414837613007,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.5307125568389894,0.17324687243150325,0.013239574432373048,0.0012103514426471196,relu,"(50,)",adaptive,"{'activation': 'relu', 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.8571428571428571,0.8541666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.8797619047619047,0.030152202718842714,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8821428571428571,0.02672612419124247,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8666666666666667,0.8942307692307693,0.8846153846153846,0.875,0.8846153846153846,0.8810256410256411,0.009408893913799368,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.787587546894285,0.7715167498104596,0.7482775566596935,0.7715167498104596,0.7622082920635509,0.019572414837613007,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.1860276222229,0.17700332323545526,0.013001394271850587,0.00048504846085394986,relu,"(100,)",constant,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.8571428571428571,0.9375,0.9375,0.875,0.9166666666666666,0.9047619047619048,0.03298070280284541,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.8928571428571429,0.8571428571428571,0.875,0.8571428571428571,0.8714285714285713,0.013363062095621254,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8666666666666667,0.9134615384615384,0.8942307692307693,0.875,0.8846153846153846,0.8867948717948717,0.016219848880272652,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.8280499498931184,0.7924348982848123,0.7490253407188312,0.7715167498104596,0.7746339591700158,0.03358914581513303,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.078315782546997,0.2332156165349089,0.012869739532470703,0.001189289646076056,relu,"(100,)",invscaling,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",0.8571428571428571,0.9375,0.9375,0.875,0.9166666666666666,0.9047619047619048,0.03298070280284541,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.8928571428571429,0.8571428571428571,0.875,0.8571428571428571,0.8714285714285713,0.013363062095621254,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8666666666666667,0.9134615384615384,0.8942307692307693,0.875,0.8846153846153846,0.8867948717948717,0.016219848880272652,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.8280499498931184,0.7924348982848123,0.7490253407188312,0.7715167498104596,0.7746339591700158,0.03358914581513303,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.005112075805664,0.19006673991753303,0.011938190460205078,0.0008587690221872362,relu,"(100,)",adaptive,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.8571428571428571,0.9375,0.9375,0.875,0.9166666666666666,0.9047619047619048,0.03298070280284541,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.8928571428571429,0.8571428571428571,0.875,0.8571428571428571,0.8714285714285713,0.013363062095621254,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8666666666666667,0.9134615384615384,0.8942307692307693,0.875,0.8846153846153846,0.8867948717948717,0.016219848880272652,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.8280499498931184,0.7924348982848123,0.7490253407188312,0.7715167498104596,0.7746339591700158,0.03358914581513303,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.9621097564697267,0.2116962310841552,0.01298379898071289,0.0014275533927282083,relu,"(50, 50)",constant,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant'}",0.8979591836734694,0.9375,0.9166666666666666,0.8541666666666666,0.8958333333333334,0.9004251700680271,0.027587476929499144,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9107142857142857,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8857142857142856,0.02901442287369988,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8857142857142857,0.9230769230769231,0.8846153846153846,0.8942307692307693,0.875,0.8925274725274726,0.0164462949712942,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7715545683320779,0.8463272660560106,0.7715167498104596,0.787587546894285,0.7508840047417884,0.7855740271669243,0.03253478208244776,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.900321292877197,0.1834296096799157,0.012656545639038086,0.002510592031856197,relu,"(50, 50)",invscaling,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'learning_rate': 'invscaling'}",0.8979591836734694,0.9375,0.9166666666666666,0.8541666666666666,0.8958333333333334,0.9004251700680271,0.027587476929499144,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9107142857142857,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8857142857142856,0.02901442287369988,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8857142857142857,0.9230769230769231,0.8846153846153846,0.8942307692307693,0.875,0.8925274725274726,0.0164462949712942,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7715545683320779,0.8463272660560106,0.7715167498104596,0.787587546894285,0.7508840047417884,0.7855740271669243,0.03253478208244776,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.8453627109527586,0.13817073892382242,0.013540506362915039,0.0031269918040090095,relu,"(50, 50)",adaptive,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive'}",0.8979591836734694,0.9375,0.9166666666666666,0.8541666666666666,0.8958333333333334,0.9004251700680271,0.027587476929499144,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9107142857142857,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8857142857142856,0.02901442287369988,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8857142857142857,0.9230769230769231,0.8846153846153846,0.8942307692307693,0.875,0.8925274725274726,0.0164462949712942,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7715545683320779,0.8463272660560106,0.7715167498104596,0.787587546894285,0.7508840047417884,0.7855740271669243,0.03253478208244776,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.744715929031372,0.10748702434100113,0.01214427947998047,0.0010280004153560463,relu,"(100, 100)",constant,"{'activation': 'relu', 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant'}",0.8775510204081632,0.9166666666666666,0.9375,0.8541666666666666,0.9166666666666666,0.9005102040816325,0.030216403305787835,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9107142857142857,0.8571428571428571,0.8571428571428571,0.875,0.875,0.0195615199108988,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8761904761904762,0.9134615384615384,0.8942307692307693,0.8557692307692307,0.8942307692307693,0.8867765567765569,0.019476848731006108,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7517296073704977,0.8263057330152185,0.7924348982848123,0.7103851445706375,0.7894669773174534,0.7740644721117238,0.03964281020380427,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
