,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '96.00±1.00', 'Val': '88.00±8.00'}","{'Train': '100.00±0.00', 'Val': '85.00±7.00'}","{'Train': '93.00±1.00', 'Val': '85.00±4.00'}","{'Train': '99.00±0.00', 'Val': '88.00±5.00'}","{'Train': '100.00±0.00', 'Val': '90.00±5.00'}"
Specificity,"{'Train': '97.00±0.00', 'Val': '93.00±4.00'}","{'Train': '100.00±0.00', 'Val': '89.00±8.00'}","{'Train': '92.00±1.00', 'Val': '86.00±3.00'}","{'Train': '100.00±0.00', 'Val': '87.00±4.00'}","{'Train': '100.00±0.00', 'Val': '89.00±5.00'}"
Accuracy,"{'Train': '97.00±0.00', 'Val': '90.00±2.00'}","{'Train': '100.00±0.00', 'Val': '87.00±3.00'}","{'Train': '92.00±1.00', 'Val': '86.00±3.00'}","{'Train': '100.00±0.00', 'Val': '87.00±2.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}"
MCC,"{'Train': '0.93±0.01', 'Val': '0.81±0.04'}","{'Train': '1.00±0.00', 'Val': '0.75±0.05'}","{'Train': '0.85±0.02', 'Val': '0.72±0.05'}","{'Train': '0.99±0.00', 'Val': '0.74±0.05'}","{'Train': '1.00±0.00', 'Val': '0.79±0.05'}"
