number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
2,0.7008255578851516,0.4747514243091337,"[3, 5, 7]",0.0024998417694151046,Adam,"[128, 64, 32]"
3,0.7142857142857143,0.39705823931672124,"[3, 5, 7]",4.003855010121142e-06,Adam,"[128, 64, 32]"
4,0.7142857142857143,0.41813570178609494,"[3, 5, 7]",2.7542753201006337e-06,Adam,"[128, 64, 32]"
37,0.7161148740394329,0.4083265555684208,"[3, 5, 7]",0.00045620097121604176,Adam,"[128, 64, 32]"
89,0.7504787743864564,0.22092986169030454,"[3, 5, 7]",1.859607844168295e-05,Adam,"[128, 64, 32]"
52,0.7504787743864564,0.2889984852590412,"[3, 5, 7]",0.0002980881719346276,Adam,"[128, 64, 32]"
1,0.7857142857142857,0.473542605857373,"[3, 5, 7]",0.0036976627868877464,Adam,"[128, 64, 32]"
39,0.7877263614433762,0.4317109243949344,"[3, 5, 7]",5.66126457011822e-05,Adam,"[128, 64, 32]"
57,0.7877263614433762,0.34421300037504216,"[3, 5, 7]",7.803155588918422e-05,Adam,"[128, 64, 32]"
61,0.7877263614433762,0.316781652219489,"[3, 5, 7]",9.898378063434107e-05,Adam,"[128, 64, 32]"
79,0.7877263614433762,0.20462068236547964,"[3, 5, 7]",2.202973028956665e-05,Adam,"[128, 64, 32]"
78,0.7877263614433762,0.30584803574163405,"[3, 5, 7]",0.0001556085855632836,Adam,"[128, 64, 32]"
82,0.7877263614433762,0.3324281873582228,"[3, 5, 7]",0.00021610409745032011,Adam,"[128, 64, 32]"
83,0.7877263614433762,0.34475362769683304,"[3, 5, 7]",0.0001601445839783528,Adam,"[128, 64, 32]"
84,0.7877263614433762,0.3737011519535819,"[3, 5, 7]",9.694416179601513e-05,Adam,"[128, 64, 32]"
67,0.7877263614433762,0.29841092907727307,"[3, 5, 7]",1.880212050462554e-05,Adam,"[128, 64, 32]"
50,0.7877263614433762,0.2375729495515565,"[3, 5, 7]",4.825292440436074e-05,Adam,"[128, 64, 32]"
99,0.7877263614433762,0.39435843865932,"[3, 5, 7]",9.088970453045514e-05,Adam,"[128, 64, 32]"
40,0.7877263614433762,0.40307498215687404,"[3, 5, 7]",2.2452302630471655e-05,Adam,"[128, 64, 32]"
26,0.7877263614433762,0.3272115844222218,"[3, 5, 7]",3.656470060821143e-05,Adam,"[128, 64, 32]"
18,0.7877263614433762,0.3511780209404407,"[3, 5, 7]",0.00019067017884582085,Adam,"[128, 64, 32]"
17,0.7877263614433762,0.2562381115013057,"[3, 5, 7]",3.5677694291188246e-05,Adam,"[128, 64, 32]"
13,0.7877263614433762,0.28704171977724185,"[3, 5, 7]",9.997732101342085e-05,Adam,"[128, 64, 32]"
10,0.7877263614433762,0.21012845906208424,"[3, 5, 7]",2.176265052967681e-05,Adam,"[128, 64, 32]"
9,0.7877263614433762,0.4819385865143433,"[3, 5, 7]",8.977214409710151e-05,Adam,"[128, 64, 32]"
7,0.7877263614433762,0.3299669966850165,"[3, 5, 7]",2.1192230337063448e-05,Adam,"[128, 64, 32]"
46,0.7877263614433762,0.3562953437889802,"[3, 5, 7]",7.353810291838119e-05,Adam,"[128, 64, 32]"
0,0.7938566201357354,0.34487694944888486,"[3, 5, 7]",1.3834739732827964e-05,Adam,"[128, 64, 32]"
55,0.8219529433756427,0.334037037404224,"[3, 5, 7]",9.761692476669997e-05,Adam,"[128, 64, 32]"
24,0.8219529433756427,0.37635546496959144,"[3, 5, 7]",0.0001777704428996242,Adam,"[128, 64, 32]"
