Task,Dataset,Representation,Representer,Precision,Classifier,MCC
ionchannels_iontransporters,na,frozen,ProtT5,half,kNN,0.81±0.03
ionchannels_iontransporters,na,frozen,ProtT5,half,LR,0.86±0.03
ionchannels_iontransporters,na,frozen,ProtT5,half,FFNN,0.85±0.04
ionchannels_membraneproteins,imbalanced,finetuned,ProtBERT,half,SVM,0.86±0.03
ionchannels_membraneproteins,imbalanced,finetuned,ProtBERT,half,RF,0.73±0.02
ionchannels_membraneproteins,imbalanced,finetuned,ProtBERT,half,kNN,0.79±0.03
ionchannels_membraneproteins,imbalanced,finetuned,ProtBERT,half,LR,0.83±0.03
ionchannels_membraneproteins,imbalanced,finetuned,ProtBERT,half,FFNN,0.84±0.03
ionchannels_membraneproteins,imbalanced,frozen,ProtBERT-BFD,half,SVM,0.75±0.04
ionchannels_membraneproteins,imbalanced,frozen,ProtBERT-BFD,half,RF,0.34±0.04
ionchannels_membraneproteins,imbalanced,frozen,ProtBERT-BFD,half,kNN,0.63±0.03
ionchannels_membraneproteins,imbalanced,frozen,ProtBERT-BFD,half,LR,0.72±0.03
ionchannels_membraneproteins,imbalanced,frozen,ProtBERT-BFD,half,FFNN,0.74±0.03
ionchannels_membraneproteins,imbalanced,finetuned,ESM-1b,full,SVM,0.99±0.01
ionchannels_membraneproteins,imbalanced,finetuned,ESM-1b,full,RF,0.97±0.01
ionchannels_membraneproteins,imbalanced,finetuned,ESM-1b,full,kNN,0.98±0.01
ionchannels_membraneproteins,imbalanced,finetuned,ESM-1b,full,LR,0.99±0.01
ionchannels_membraneproteins,imbalanced,finetuned,ESM-1b,full,FFNN,0.99±0.01
iontransporters_membraneproteins,imbalanced,finetuned,ProtBERT-BFD,half,SVM,0.90±0.02
iontransporters_membraneproteins,imbalanced,finetuned,ProtBERT-BFD,half,RF,0.90±0.01
iontransporters_membraneproteins,imbalanced,finetuned,ProtBERT-BFD,half,kNN,0.88±0.01
iontransporters_membraneproteins,imbalanced,finetuned,ProtBERT-BFD,half,LR,0.90±0.01
iontransporters_membraneproteins,imbalanced,finetuned,ProtBERT-BFD,half,FFNN,0.90±0.01
