,svm,rf,knn,lr
svm,1.0,5.687684011464406e-20,5.517184902528504e-17,9.848606613207151e-23
rf,5.687684011464406e-20,1.0,8.444972621793279e-15,4.533614607878497e-19
knn,5.517184902528469e-17,8.444972621793225e-15,1.0,2.2257379763154975e-15
lr,9.848606613207011e-23,4.533614607878497e-19,2.2257379763154817e-15,1.0
