,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '86.00±3.00'}","{'Train': '100.00±0.00', 'Val': '82.00±7.00'}","{'Train': '91.00±1.00', 'Val': '85.00±6.00'}","{'Train': '100.00±0.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '87.00±5.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '85.00±7.00'}","{'Train': '100.00±0.00', 'Val': '84.00±6.00'}","{'Train': '77.00±3.00', 'Val': '66.00±12.00'}","{'Train': '100.00±0.00', 'Val': '87.00±8.00'}","{'Train': '100.00±0.00', 'Val': '87.00±7.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '83.00±6.00'}","{'Train': '84.00±1.00', 'Val': '76.00±8.00'}","{'Train': '100.00±0.00', 'Val': '87.00±5.00'}","{'Train': '100.00±0.00', 'Val': '87.00±5.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.72±0.08'}","{'Train': '1.00±0.00', 'Val': '0.65±0.13'}","{'Train': '0.68±0.03', 'Val': '0.53±0.15'}","{'Train': '1.00±0.00', 'Val': '0.73±0.10'}","{'Train': '1.00±0.00', 'Val': '0.74±0.10'}"
