,svm,rf,knn,lr,mlp
svm,1.0,2.3921096726171903e-18,1.5248417867202218e-10,4.270911594560774e-25,2.3743548030233082e-26
rf,2.3921096726171725e-18,1.0,1.5842944770418799e-12,1.1319851433026049e-16,1.7234416993904648e-17
knn,1.52484178672021e-10,1.5842944770418799e-12,1.0,3.5597272585192374e-09,7.512192714955149e-10
lr,4.270911594560772e-25,1.131985143302605e-16,3.5597272585192142e-09,1.0,1.7217946359849814e-29
mlp,2.3743548030233073e-26,1.723441699390476e-17,7.51219271495511e-10,1.7217946359849814e-29,1.0
