param_C,param_penalty,mean_test_MCC
0.1,l1,0.0
0.1,l1,-0.0223659913551077
0.1,l2,0.6085656454598466
0.1,l2,0.5916097844073505
1.0,l1,0.664014583500962
1.0,l1,0.5953674136503564
1.0,l2,0.706410907684609
1.0,l2,0.702564085400455
10.0,l1,0.7438228858106861
10.0,l1,0.7266241167908334
10.0,l2,0.7545062319066668
10.0,l2,0.7416475689140019
100.0,l1,0.7216152345271769
100.0,l1,0.7341845849824772
100.0,l2,0.7517844005654446
100.0,l2,0.7303624069838717
0.1,l1,0.0
0.1,l1,-0.0119038572313817
0.1,l2,0.5262107459524079
0.1,l2,0.5218999373146052
1.0,l1,0.6015370986494887
1.0,l1,0.6003433730286962
1.0,l2,0.6946134808752983
1.0,l2,0.7025383348967604
10.0,l1,0.7156183508038165
10.0,l1,0.7230560001947828
10.0,l2,0.7375711499629772
10.0,l2,0.7264474661664019
100.0,l1,0.6888273830522007
100.0,l1,0.7228048603541678
100.0,l2,0.7313460802068907
100.0,l2,0.7262685013559914
0.1,l1,0.2248686678305599
0.1,l1,0.1970717427630358
0.1,l2,0.7359978925582595
0.1,l2,0.7359978925582595
1.0,l1,0.7760298438726503
1.0,l1,0.7473901934080464
1.0,l2,0.8001603697015558
1.0,l2,0.8036781813616838
10.0,l1,0.7918178531379242
10.0,l1,0.8076634158598871
10.0,l2,0.8306797937725252
10.0,l2,0.8076634158598871
100.0,l1,0.7774607030251499
100.0,l1,0.8076634158598871
100.0,l2,0.8271641549986853
100.0,l2,0.8076634158598871
0.1,l1,0.0
0.1,l1,0.0
0.1,l2,0.0
0.1,l2,0.0
1.0,l1,0.3030975578519672
1.0,l1,0.2852519432566632
1.0,l2,0.3644631742390287
1.0,l2,0.3698110680020564
10.0,l1,0.6625969473235964
10.0,l1,0.6329262600842919
10.0,l2,0.64732285931857
10.0,l2,0.6330987800636038
100.0,l1,0.6826143054290045
100.0,l1,0.649623263279089
100.0,l2,0.7159279119486391
100.0,l2,0.6525778654259824
0.1,l1,0.2968876071188985
0.1,l1,0.264180169453339
0.1,l2,0.7753656387736669
0.1,l2,0.7753656387736669
1.0,l1,0.7339219934980492
1.0,l1,0.775927301011626
1.0,l2,0.8385687027835462
1.0,l2,0.8122310178897358
10.0,l1,0.7780007197636134
10.0,l1,0.8194740640096096
10.0,l2,0.8312587726505087
10.0,l2,0.8194677483323918
100.0,l1,0.7895407115109897
100.0,l1,0.8194677483323918
100.0,l2,0.8393459280796003
100.0,l2,0.8194677483323918
0.1,l1,0.0
0.1,l1,0.0
0.1,l2,0.6285761032031066
0.1,l2,0.6304508914756679
