Sensitivity,Specificity,Accuracy,MCC
0.8979591836734694,1.0,0.9523809523809523,0.9079405112103741
0.9375,0.875,0.9038461538461539,0.8100925873009825
0.875,1.0,0.9423076923076923,0.8890008890013334
0.9166666666666666,0.8392857142857143,0.875,0.7538519257091473
0.6875,1.0,0.8557692307692307,0.7363786533616795
