,Sensitivity,Specificity,Accuracy,MCC
Train,0.96 ± 0.01,1.00 ± 0.00,1.00 ± 0.00,0.97 ± 0.01
Val,0.82 ± 0.03,1.00 ± 0.00,0.99 ± 0.00,0.87 ± 0.02
