mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.04592075347900391,0.0018721689761510834,0.012524747848510742,0.00032602596873107086,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8775510204081632,0.875,0.8958333333333334,0.8333333333333334,0.8125,0.8588435374149661,0.03091194001580533,13,0.9270833333333334,0.927461139896373,0.8963730569948186,0.9067357512953368,0.927461139896373,0.9170228842832471,0.013048888594299281,0.9464285714285714,0.8571428571428571,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9285714285714285,0.035714285714285726,25,0.9732142857142857,0.9598214285714286,0.96875,0.9776785714285714,0.9732142857142857,0.9705357142857143,0.006055651770647539,0.9142857142857143,0.8653846153846154,0.9230769230769231,0.8942307692307693,0.8846153846153846,0.8963186813186812,0.02067394854137132,4,0.9519230769230769,0.9448441247002398,0.935251798561151,0.9448441247002398,0.9520383693045563,0.9457802988378529,0.006156286716502341,0.8285211268314548,0.7305140612272933,0.8454129142880623,0.7893643360604823,0.7710721996440137,0.7929769276102613,0.041005854213533394,4,0.903665747604731,0.8891354936861424,0.8709036786056706,0.8903238456588812,0.9039431549917174,0.8915943841094285,0.012115904120207207
0.10305194854736328,0.011415213312854887,0.04423532485961914,0.005289014436481687,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5918367346938775,0.625,0.3541666666666667,0.4375,0.4791666666666667,0.49753401360544214,0.09963555518351049,16,0.5364583333333334,0.5595854922279793,0.5492227979274611,0.5647668393782384,0.5699481865284974,0.5559963298791019,0.011933752731883511,1.0,1.0,0.9464285714285714,0.9821428571428571,1.0,0.9857142857142858,0.020824828195876086,21,0.9910714285714286,0.9866071428571429,0.9955357142857143,0.9955357142857143,0.9910714285714286,0.9919642857142857,0.0033407655239052927,0.8095238095238095,0.8269230769230769,0.6730769230769231,0.7307692307692307,0.7596153846153846,0.759981684981685,0.055392258228013885,16,0.78125,0.7889688249400479,0.7889688249400479,0.7961630695443646,0.7961630695443646,0.7903027577937649,0.00555333566457953,0.6603712785728266,0.6877303054053768,0.3802262424726266,0.5122431987934714,0.5755655654785204,0.5632273181445644,0.11061550465908518,16,0.60540603503056,0.616206536448762,0.6219191833671891,0.6339569030872095,0.6311342931874987,0.6217245902242439,0.010343635873365415
0.0795297622680664,0.003960994509534913,0.02227363586425781,0.0019588974486090924,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,23,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06141357421875,0.00758406689370927,0.013779067993164062,0.0007664585996963641,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.8775510204081632,0.875,0.8958333333333334,0.8333333333333334,0.8125,0.8588435374149661,0.03091194001580533,13,0.9270833333333334,0.927461139896373,0.8963730569948186,0.9067357512953368,0.927461139896373,0.9170228842832471,0.013048888594299281,0.9464285714285714,0.8571428571428571,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9285714285714285,0.035714285714285726,25,0.9732142857142857,0.9598214285714286,0.96875,0.9776785714285714,0.9732142857142857,0.9705357142857143,0.006055651770647539,0.9142857142857143,0.8653846153846154,0.9230769230769231,0.8942307692307693,0.8846153846153846,0.8963186813186812,0.02067394854137132,4,0.9519230769230769,0.9448441247002398,0.935251798561151,0.9448441247002398,0.9520383693045563,0.9457802988378529,0.006156286716502341,0.8285211268314548,0.7305140612272933,0.8454129142880623,0.7893643360604823,0.7710721996440137,0.7929769276102613,0.041005854213533394,4,0.903665747604731,0.8891354936861424,0.8709036786056706,0.8903238456588812,0.9039431549917174,0.8915943841094285,0.012115904120207207
0.10948648452758789,0.010922766197788708,0.04849185943603516,0.0033776988172565556,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,23,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09197402000427246,0.009659196471184834,0.025135087966918945,0.0025643110087956297,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,23,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.052652740478515626,0.0029176489865081288,0.01348891258239746,0.0003885213042047223,0.1,10,linear,"{'C': 0.1, 'gamma': 10, 'kernel': 'linear'}",0.8775510204081632,0.875,0.8958333333333334,0.8333333333333334,0.8125,0.8588435374149661,0.03091194001580533,13,0.9270833333333334,0.927461139896373,0.8963730569948186,0.9067357512953368,0.927461139896373,0.9170228842832471,0.013048888594299281,0.9464285714285714,0.8571428571428571,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9285714285714285,0.035714285714285726,25,0.9732142857142857,0.9598214285714286,0.96875,0.9776785714285714,0.9732142857142857,0.9705357142857143,0.006055651770647539,0.9142857142857143,0.8653846153846154,0.9230769230769231,0.8942307692307693,0.8846153846153846,0.8963186813186812,0.02067394854137132,4,0.9519230769230769,0.9448441247002398,0.935251798561151,0.9448441247002398,0.9520383693045563,0.9457802988378529,0.006156286716502341,0.8285211268314548,0.7305140612272933,0.8454129142880623,0.7893643360604823,0.7710721996440137,0.7929769276102613,0.041005854213533394,4,0.903665747604731,0.8891354936861424,0.8709036786056706,0.8903238456588812,0.9039431549917174,0.8915943841094285,0.012115904120207207
0.09402403831481934,0.0034160130270797485,0.04455299377441406,0.003761181875704956,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,23,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0892209529876709,0.01300405054925853,0.02355031967163086,0.0032495202014572438,0.1,10,sigmoid,"{'C': 0.1, 'gamma': 10, 'kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,23,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04474644660949707,0.0036599748426892026,0.010333013534545899,0.0006417628248896822,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8979591836734694,0.9375,0.8541666666666666,0.9166666666666666,0.9166666666666666,0.9045918367346939,0.028146900746932033,1,1.0,1.0,0.9948186528497409,1.0,1.0,0.9989637305699481,0.0020725388601036347,0.8928571428571429,0.7857142857142857,0.9107142857142857,0.8571428571428571,0.8928571428571429,0.8678571428571429,0.04460712855998857,34,1.0,0.9910714285714286,0.9955357142857143,0.9955357142857143,0.9955357142857143,0.9955357142857142,0.0028234621965789,0.8952380952380953,0.8557692307692307,0.8846153846153846,0.8846153846153846,0.9038461538461539,0.8848168498168498,0.016214574411682364,13,1.0,0.9952038369304557,0.9952038369304557,0.9976019184652278,0.9976019184652278,0.9971223021582734,0.0017945598977332942,0.7899531467283196,0.7244280727820938,0.7677424698658375,0.7715167498104596,0.8077228644464381,0.7722726607266297,0.02785503600845886,13,1.0,0.9904072866283817,0.9903543671354552,0.9951904776938377,0.9951904776938377,0.9942285218303025,0.003599210788439046
