,svm,rf,knn,lr
Sensitivity,"{'Train': '100.00±0.00', 'Val': '89.00±6.00'}","{'Train': '100.00±0.00', 'Val': '80.00±3.00'}","{'Train': '100.00±0.00', 'Val': '91.00±2.00'}","{'Train': '100.00±0.00', 'Val': '92.00±4.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '92.00±2.00'}","{'Train': '100.00±0.00', 'Val': '93.00±4.00'}","{'Train': '100.00±0.00', 'Val': '68.00±8.00'}","{'Train': '100.00±0.00', 'Val': '88.00±2.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '91.00±3.00'}","{'Train': '100.00±0.00', 'Val': '87.00±3.00'}","{'Train': '100.00±0.00', 'Val': '79.00±4.00'}","{'Train': '100.00±0.00', 'Val': '90.00±2.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.81±0.06'}","{'Train': '1.00±0.00', 'Val': '0.74±0.05'}","{'Train': '1.00±0.00', 'Val': '0.60±0.07'}","{'Train': '1.00±0.00', 'Val': '0.79±0.05'}"
