,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '80.00±6.00'}","{'Train': '96.00±1.00', 'Val': '91.00±4.00'}","{'Train': '100.00±0.00', 'Val': '87.00±5.00'}","{'Train': '100.00±0.00', 'Val': '90.00±3.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '88.00±6.00'}","{'Train': '100.00±0.00', 'Val': '90.00±3.00'}","{'Train': '82.00±2.00', 'Val': '67.00±4.00'}","{'Train': '100.00±0.00', 'Val': '88.00±7.00'}","{'Train': '100.00±0.00', 'Val': '89.00±3.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '89.00±4.00'}","{'Train': '100.00±0.00', 'Val': '86.00±3.00'}","{'Train': '89.00±1.00', 'Val': '78.00±4.00'}","{'Train': '100.00±0.00', 'Val': '87.00±5.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.78±0.07'}","{'Train': '1.00±0.00', 'Val': '0.72±0.06'}","{'Train': '0.78±0.02', 'Val': '0.59±0.07'}","{'Train': '0.99±0.00', 'Val': '0.75±0.10'}","{'Train': '1.00±0.00', 'Val': '0.78±0.04'}"
