,svm,rf,knn,lr,mlp
svm,1.0,1.0609271334864374e-17,3.3878574466806146e-10,1.6215508029882297e-24,2.1118165263413906e-22
rf,1.0609271334864387e-17,1.0,3.6046483232358335e-10,1.3731470140801409e-14,1.7747456808087526e-14
knn,3.3878574466805965e-10,3.6046483232357777e-10,1.0,5.938059541048066e-11,3.3878574466805965e-10
lr,1.6215508029882395e-24,1.3731470140801427e-14,5.93805954104811e-11,1.0,2.6879066532248885e-27
mlp,2.1118165263413906e-22,1.7747456808087402e-14,3.3878574466806146e-10,2.68790665322485e-27,1.0
