,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '78.00±6.00'}","{'Train': '96.00±1.00', 'Val': '92.00±3.00'}","{'Train': '94.00±1.00', 'Val': '85.00±6.00'}","{'Train': '100.00±0.00', 'Val': '88.00±3.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '91.00±5.00'}","{'Train': '100.00±0.00', 'Val': '90.00±6.00'}","{'Train': '83.00±1.00', 'Val': '65.00±6.00'}","{'Train': '95.00±1.00', 'Val': '88.00±5.00'}","{'Train': '100.00±0.00', 'Val': '86.00±5.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '89.00±2.00'}","{'Train': '100.00±0.00', 'Val': '84.00±3.00'}","{'Train': '89.00±1.00', 'Val': '77.00±3.00'}","{'Train': '95.00±1.00', 'Val': '87.00±4.00'}","{'Train': '100.00±0.00', 'Val': '87.00±4.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.78±0.04'}","{'Train': '1.00±0.00', 'Val': '0.69±0.06'}","{'Train': '0.79±0.01', 'Val': '0.58±0.04'}","{'Train': '0.89±0.01', 'Val': '0.73±0.08'}","{'Train': '1.00±0.00', 'Val': '0.75±0.08'}"
