params_kernel_sizes,Adam,RMSprop,SGD
"[3, 5, 7]",0.8162624119006202,0.7956376471151393,0.7112336318998552
"[3, 7, 9]",0.8237422531514278,0.800849694177968,0.8162092795361765
"[5, 7]",0.8706147257605957,0.8266624397462358,0.6204985572254321
"[7, 7, 7]",0.8195007425198704,0.8216971631215723,0.3025331819606188
