,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '89.00±6.00'}","{'Train': '100.00±0.00', 'Val': '95.00±3.00'}","{'Train': '98.00±0.00', 'Val': '93.00±3.00'}","{'Train': '100.00±0.00', 'Val': '95.00±2.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '94.00±3.00'}","{'Train': '100.00±0.00', 'Val': '94.00±5.00'}","{'Train': '100.00±0.00', 'Val': '85.00±5.00'}","{'Train': '99.00±0.00', 'Val': '94.00±5.00'}","{'Train': '100.00±0.00', 'Val': '92.00±4.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '94.00±2.00'}","{'Train': '100.00±0.00', 'Val': '92.00±2.00'}","{'Train': '100.00±0.00', 'Val': '90.00±2.00'}","{'Train': '99.00±0.00', 'Val': '94.00±2.00'}","{'Train': '100.00±0.00', 'Val': '93.00±2.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.87±0.04'}","{'Train': '1.00±0.00', 'Val': '0.83±0.05'}","{'Train': '1.00±0.00', 'Val': '0.80±0.05'}","{'Train': '0.97±0.00', 'Val': '0.88±0.03'}","{'Train': '1.00±0.00', 'Val': '0.87±0.04'}"
