number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
0,0.0,0.35927038342995166,"[7, 7, 7]",8.677854315442992e-05,SGD,"[128, 64, 32]"
1,0.0,0.34277070145385546,"[7, 7, 7]",5.4398399433074346e-06,SGD,"[128, 64, 32]"
13,0.6924700248371153,0.49855973426603983,"[3, 7, 9]",0.008696543947255301,RMSprop,"[128, 64, 32]"
2,0.7205015127761502,0.3295660033800455,"[3, 7, 9]",0.00043350142125277163,SGD,"[128, 64, 32]"
10,0.7425332027429316,0.2829170858899646,"[3, 5, 7]",0.0007745878746860442,RMSprop,"[128, 64, 32]"
15,0.7676313044500135,0.4362649072751039,"[3, 5, 7]",0.0015646429219320186,RMSprop,"[128, 64, 32]"
23,0.7689434229658464,0.44237860709703675,"[3, 7, 9]",0.009742592458547574,RMSprop,"[128, 64, 32]"
4,0.780682633416058,0.400174681320308,"[3, 5, 7]",9.172442056030474e-06,Adam,"[128, 64, 32]"
3,0.782183648277938,0.2223928990803932,"[3, 5, 7]",0.005223952861061422,Adam,"[128, 64, 32]"
72,0.791028506120598,0.3863925714285492,"[7, 7, 7]",0.00011833577738852684,RMSprop,"[128, 64, 32]"
29,0.791028506120598,0.3747532143447495,"[7, 7, 7]",0.00024135131669416614,Adam,"[128, 64, 32]"
67,0.7939448326517645,0.35181865378660143,"[3, 5, 7]",0.0002660330584644302,RMSprop,"[128, 64, 32]"
14,0.8017360047779565,0.45907352660623346,"[3, 7, 9]",0.0032104486367799633,RMSprop,"[128, 64, 32]"
8,0.8025250771405297,0.38515413339849963,"[5, 7]",3.6130540180288956e-05,RMSprop,"[128, 64, 32]"
43,0.8025250771405297,0.33721736056234536,"[5, 7]",0.00015185544771179876,RMSprop,"[128, 64, 32]"
20,0.8025250771405297,0.4248334570328405,"[3, 5, 7]",0.00023271530811430638,RMSprop,"[128, 64, 32]"
17,0.8100499127151872,0.4502931013295035,"[3, 7, 9]",0.009892384764765593,Adam,"[128, 64, 32]"
56,0.8131135892753497,0.3690456957343513,"[5, 7]",0.00018554253319860963,RMSprop,"[128, 64, 32]"
92,0.8138945113798836,0.34799249947246413,"[5, 7]",6.664637537478381e-05,RMSprop,"[128, 64, 32]"
90,0.8151086760788703,0.31156918504586667,"[3, 7, 9]",0.00017567966298331057,RMSprop,"[128, 64, 32]"
32,0.8243675208650012,0.3512392471508309,"[5, 7]",0.00011166266168989013,RMSprop,"[128, 64, 32]"
78,0.8243675208650012,0.3403803952343151,"[5, 7]",0.0004509377499872757,Adam,"[128, 64, 32]"
64,0.8243675208650012,0.37844636644763147,"[5, 7]",0.00021319033897586188,RMSprop,"[128, 64, 32]"
31,0.8251420262370602,0.3647606932232094,"[5, 7]",9.359874772694998e-05,RMSprop,"[128, 64, 32]"
42,0.8251420262370602,0.3681696743654608,"[5, 7]",7.632853725280144e-05,RMSprop,"[128, 64, 32]"
74,0.8263379874853888,0.34152140865491887,"[5, 7]",0.00021223493463336495,RMSprop,"[128, 64, 32]"
48,0.8263379874853888,0.3608468022185311,"[3, 5, 7]",0.0006365789281650817,RMSprop,"[128, 64, 32]"
35,0.8408616592515019,0.32496499510953547,"[5, 7]",0.0004291525382011281,RMSprop,"[128, 64, 32]"
76,0.843016383574268,0.34039657121828487,"[5, 7]",0.00022649129023467497,Adam,"[128, 64, 32]"
68,0.8465243096155997,0.389919031097402,"[7, 7, 7]",0.00011345543024969468,RMSprop,"[128, 64, 32]"
6,0.8472905959174253,0.3676140653664214,"[3, 5, 7]",0.001735563857797494,RMSprop,"[128, 64, 32]"
12,0.8484563242612063,0.49728429301276,"[3, 7, 9]",0.005747762637176062,RMSprop,"[128, 64, 32]"
34,0.8690065921524269,0.33665481017588456,"[5, 7]",0.00013968267653071136,RMSprop,"[128, 64, 32]"
99,0.8716305656193085,0.371885568798492,"[3, 7, 9]",0.00029835346591574425,Adam,"[128, 64, 32]"
