,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '99.00±0.00', 'Val': '83.00±6.00'}","{'Train': '99.00±1.00', 'Val': '28.00±6.00'}","{'Train': '100.00±0.00', 'Val': '71.00±6.00'}","{'Train': '100.00±0.00', 'Val': '84.00±6.00'}","{'Train': '100.00±0.00', 'Val': '85.00±6.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '100.00±0.00'}","{'Train': '100.00±0.00', 'Val': '100.00±0.00'}","{'Train': '100.00±0.00', 'Val': '99.00±0.00'}","{'Train': '100.00±0.00', 'Val': '99.00±0.00'}","{'Train': '100.00±0.00', 'Val': '99.00±0.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '99.00±0.00'}","{'Train': '100.00±0.00', 'Val': '95.00±0.00'}","{'Train': '100.00±0.00', 'Val': '97.00±1.00'}","{'Train': '100.00±0.00', 'Val': '98.00±0.00'}","{'Train': '100.00±0.00', 'Val': '98.00±0.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.88±0.03'}","{'Train': '0.99±0.00', 'Val': '0.51±0.05'}","{'Train': '1.00±0.00', 'Val': '0.75±0.05'}","{'Train': '1.00±0.00', 'Val': '0.87±0.04'}","{'Train': '1.00±0.00', 'Val': '0.86±0.04'}"
