,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '92.00±1.00', 'Val': '87.00±2.00'}","{'Train': '100.00±0.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '88.00±5.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}"
Specificity,"{'Train': '97.00±0.00', 'Val': '93.00±3.00'}","{'Train': '100.00±0.00', 'Val': '89.00±6.00'}","{'Train': '100.00±0.00', 'Val': '82.00±5.00'}","{'Train': '100.00±0.00', 'Val': '88.00±7.00'}","{'Train': '100.00±0.00', 'Val': '87.00±8.00'}"
Accuracy,"{'Train': '95.00±0.00', 'Val': '90.00±2.00'}","{'Train': '100.00±0.00', 'Val': '88.00±5.00'}","{'Train': '100.00±0.00', 'Val': '85.00±5.00'}","{'Train': '100.00±0.00', 'Val': '89.00±4.00'}","{'Train': '100.00±0.00', 'Val': '88.00±4.00'}"
MCC,"{'Train': '0.90±0.01', 'Val': '0.81±0.05'}","{'Train': '1.00±0.00', 'Val': '0.76±0.10'}","{'Train': '1.00±0.00', 'Val': '0.70±0.09'}","{'Train': '1.00±0.00', 'Val': '0.78±0.07'}","{'Train': '1.00±0.00', 'Val': '0.76±0.08'}"
