,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '98.00±0.00', 'Val': '90.00±3.00'}","{'Train': '98.00±1.00', 'Val': '83.00±4.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}","{'Train': '100.00±0.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '92.00±3.00'}"
Specificity,"{'Train': '98.00±0.00', 'Val': '92.00±3.00'}","{'Train': '99.00±1.00', 'Val': '86.00±1.00'}","{'Train': '100.00±0.00', 'Val': '73.00±4.00'}","{'Train': '99.00±0.00', 'Val': '93.00±3.00'}","{'Train': '100.00±0.00', 'Val': '90.00±3.00'}"
Accuracy,"{'Train': '98.00±0.00', 'Val': '91.00±2.00'}","{'Train': '99.00±0.00', 'Val': '85.00±2.00'}","{'Train': '100.00±0.00', 'Val': '81.00±2.00'}","{'Train': '99.00±0.00', 'Val': '91.00±2.00'}","{'Train': '100.00±0.00', 'Val': '91.00±3.00'}"
MCC,"{'Train': '0.96±0.01', 'Val': '0.82±0.05'}","{'Train': '0.97±0.01', 'Val': '0.70±0.03'}","{'Train': '1.00±0.00', 'Val': '0.63±0.04'}","{'Train': '0.99±0.00', 'Val': '0.83±0.04'}","{'Train': '1.00±0.00', 'Val': '0.83±0.06'}"
