mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
13.632611942291259,1.7308683016683442,0.026225900650024413,0.00698848363894324,relu,"(512, 256, 64)",adam,"{'activation': 'relu', 'hidden_layer_sizes': (512, 256, 64), 'solver': 'adam'}",0.8947368421052632,0.7678571428571429,0.9285714285714286,0.8392857142857143,0.8928571428571429,0.8646616541353385,0.056212122378045216,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9642857142857143,0.8214285714285714,0.8214285714285714,0.8392857142857143,0.9464285714285714,0.8785714285714284,0.06328587552381912,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9292035398230089,0.7946428571428571,0.875,0.8392857142857143,0.9196428571428571,0.8715549936788876,0.05020846281794421,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8606418274913739,0.5901331336623241,0.7543422685124546,0.6785714285714286,0.840492644913007,0.7448362606301175,0.10097081045269592,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32.84161353111267,2.0421035817729005,0.02117471694946289,0.006383165153341061,relu,"(512, 256, 64)",sgd,"{'activation': 'relu', 'hidden_layer_sizes': (512, 256, 64), 'solver': 'sgd'}",0.6666666666666666,0.5892857142857143,0.8035714285714286,0.8571428571428571,0.8035714285714286,0.744047619047619,0.0998155896012123,8,0.7544642857142857,0.7777777777777778,0.7822222222222223,0.72,0.7333333333333333,0.7535595238095238,0.024266162115891346,0.7321428571428571,0.75,0.6607142857142857,0.75,0.7857142857142857,0.7357142857142857,0.04134227465282224,10,0.75,0.7678571428571429,0.7366071428571429,0.7678571428571429,0.7366071428571429,0.7517857142857143,0.014003917090498325,0.6991150442477876,0.6696428571428571,0.7321428571428571,0.8035714285714286,0.7946428571428571,0.7398230088495577,0.05236497606180795,8,0.7522321428571429,0.7728285077951003,0.7594654788418709,0.7438752783964365,0.734966592427617,0.7526736000636335,0.012988405529923893,0.3995612860672936,0.3437541846196715,0.46909709371657093,0.6106580268910347,0.5893796917545019,0.4824900566098145,0.1040736444283483,9,0.5044693127374269,0.5456674018041392,0.5193964763944771,0.4883903996935791,0.4699404761904762,0.5055728133640197,0.025941419341995623
28.935523796081544,1.912288427678748,0.016973161697387697,0.00629906296371683,relu,"(512,)",adam,"{'activation': 'relu', 'hidden_layer_sizes': (512,), 'solver': 'adam'}",0.8947368421052632,0.75,0.9107142857142857,0.8214285714285714,0.9107142857142857,0.8575187969924812,0.06309912679377522,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9642857142857143,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.9642857142857143,0.8892857142857142,0.06123724356957946,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9292035398230089,0.7946428571428571,0.875,0.8303571428571429,0.9375,0.8733407079646017,0.05528247928791118,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8606418274913739,0.5916487268706953,0.7519206177414045,0.6608196543914111,0.8762582893773904,0.7482578231744551,0.11063411973141565,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28.10294690132141,0.7233065484170031,0.01879396438598633,0.011636055869301314,relu,"(512,)",sgd,"{'activation': 'relu', 'hidden_layer_sizes': (512,), 'solver': 'sgd'}",0.6666666666666666,0.5535714285714286,0.8035714285714286,0.8214285714285714,0.7857142857142857,0.726190476190476,0.10192311806192376,12,0.7366071428571429,0.76,0.76,0.7066666666666667,0.72,0.7366547619047619,0.02129163920948215,0.7142857142857143,0.75,0.6607142857142857,0.7321428571428571,0.75,0.7214285714285714,0.0331200660553418,12,0.7589285714285714,0.75,0.7366071428571429,0.75,0.7232142857142857,0.74375,0.012499999999999992,0.6902654867256637,0.6517857142857143,0.7321428571428571,0.7767857142857143,0.7678571428571429,0.7237673830594185,0.04717782663194547,12,0.7477678571428571,0.755011135857461,0.7483296213808464,0.7282850779510023,0.7216035634743875,0.7401994511613108,0.01288817883409044,0.38131092444911124,0.30960307333462006,0.46909709371657093,0.5557912282724713,0.5360562674188974,0.45037171743833426,0.09315681336084912,12,0.4956592098227451,0.5100303598535852,0.49675500861681604,0.4570749516535984,0.4432142857142857,0.48054676313220607,0.025709980733324228
15.695949411392212,1.562389285180464,0.016594839096069337,0.004599431475442763,relu,"(256,)",adam,"{'activation': 'relu', 'hidden_layer_sizes': (256,), 'solver': 'adam'}",0.8947368421052632,0.7678571428571429,0.9107142857142857,0.8571428571428571,0.9107142857142857,0.868233082706767,0.05387035712511874,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9642857142857143,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.9464285714285714,0.8857142857142858,0.057142857142857134,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9292035398230089,0.8035714285714286,0.875,0.8482142857142857,0.9285714285714286,0.8769121365360304,0.048185382978634755,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8606418274913739,0.6086976429335179,0.7519206177414045,0.6965396357098658,0.857690027870236,0.7550979503492796,0.09647472833814105,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.887318849563599,1.4054378437265196,0.009954357147216797,0.0018636572032340285,relu,"(256,)",sgd,"{'activation': 'relu', 'hidden_layer_sizes': (256,), 'solver': 'sgd'}",0.6666666666666666,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.7333333333333333,0.10146321786982151,9,0.75,0.7688888888888888,0.7688888888888888,0.7111111111111111,0.72,0.7437777777777776,0.024217124845911583,0.7321428571428571,0.75,0.6785714285714286,0.7321428571428571,0.7857142857142857,0.7357142857142857,0.03462628469583091,10,0.7544642857142857,0.7544642857142857,0.7321428571428571,0.7633928571428571,0.7321428571428571,0.7473214285714286,0.012814910798577975,0.6991150442477876,0.6607142857142857,0.7321428571428571,0.7946428571428571,0.7857142857142857,0.7344658659924146,0.050876405827389795,11,0.7522321428571429,0.7616926503340757,0.7505567928730512,0.7371937639198218,0.7260579064587973,0.7455466512885779,0.012490576478469392,0.3995612860672936,0.3266793038882825,0.46697378526961475,0.5939441718716428,0.5714285714285714,0.4717174237050809,0.10114025652736858,11,0.5044693127374269,0.5234154896804453,0.5013900097500535,0.47512656572469364,0.45216977281137183,0.4913142301407983,0.0248973790417943
13.073656463623047,1.0918862210918177,0.026583433151245117,0.009035850649452839,tanh,"(512, 256, 64)",adam,"{'activation': 'tanh', 'hidden_layer_sizes': (512, 256, 64), 'solver': 'adam'}",0.8947368421052632,0.7857142857142857,0.9285714285714286,0.8571428571428571,0.9107142857142857,0.8753759398496241,0.05064594904280369,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8928571428571429,0.8571428571428571,0.8392857142857143,0.7857142857142857,0.9107142857142857,0.8571428571428571,0.04374088826398533,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8938053097345132,0.8214285714285714,0.8839285714285714,0.8214285714285714,0.9107142857142857,0.8662610619469027,0.037594733654956775,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7875939849624061,0.6445033866354896,0.770936219861815,0.6445033866354896,0.8214285714285714,0.7337931099047544,0.07469863218794243,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29.306121349334717,2.4137560799252884,0.023749446868896483,0.011432021538452278,tanh,"(512, 256, 64)",sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (512, 256, 64), 'solver': 'sgd'}",0.7192982456140351,0.625,0.875,0.7857142857142857,0.8392857142857143,0.768859649122807,0.08906358950411887,7,0.7857142857142857,0.8044444444444444,0.8,0.7644444444444445,0.7822222222222223,0.7873650793650795,0.014183621084894666,0.8214285714285714,0.8035714285714286,0.7321428571428571,0.8392857142857143,0.7857142857142857,0.7964285714285715,0.03677010764638216,7,0.8125,0.84375,0.8214285714285714,0.8258928571428571,0.8169642857142857,0.8241071428571429,0.010788433904995157,0.7699115044247787,0.7142857142857143,0.8035714285714286,0.8125,0.8125,0.7825537294563844,0.03756500942133775,7,0.7991071428571429,0.8240534521158129,0.8106904231625836,0.7951002227171492,0.799554565701559,0.8057011613108495,0.010538889197960958,0.5432858792180494,0.4355724051843766,0.6134346610139774,0.6258987781267074,0.6258987781267074,0.5688181003339636,0.07336668812544289,7,0.5984290030065468,0.6486579371346626,0.6215519074566647,0.5914060838731672,0.59951966698807,0.6119129196918223,0.020971625731226507
26.614746475219725,1.8715565009093296,0.012860822677612304,0.006216787244767765,tanh,"(512,)",adam,"{'activation': 'tanh', 'hidden_layer_sizes': (512,), 'solver': 'adam'}",0.8947368421052632,0.7678571428571429,0.9107142857142857,0.8392857142857143,0.9285714285714286,0.868233082706767,0.05841420596413586,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,0.8392857142857143,0.8571428571428571,0.75,0.9107142857142857,0.8571428571428571,0.06288148879163932,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.911504424778761,0.8035714285714286,0.8839285714285714,0.7946428571428571,0.9196428571428571,0.8626580278128951,0.05329721746435607,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8235663206033156,0.6086976429335179,0.7689613559842405,0.5916487268706953,0.8394195609836844,0.7264587214750907,0.10586587483761165,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22.11315064430237,2.475750261559337,0.009910297393798829,0.003795561713281525,tanh,"(512,)",sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (512,), 'solver': 'sgd'}",0.6666666666666666,0.5892857142857143,0.8035714285714286,0.8214285714285714,0.7857142857142857,0.7333333333333332,0.090146642941155,10,0.7455357142857143,0.76,0.7511111111111111,0.7111111111111111,0.7244444444444444,0.7384404761904763,0.01799157336138616,0.8035714285714286,0.75,0.6785714285714286,0.75,0.75,0.7464285714285714,0.03976974544878587,8,0.7633928571428571,0.7723214285714286,0.75,0.7678571428571429,0.7589285714285714,0.7625,0.007680647559859505,0.7345132743362832,0.6696428571428571,0.7410714285714286,0.7857142857142857,0.7678571428571429,0.7397597977243995,0.03961542000175581,9,0.7544642857142857,0.7661469933184856,0.7505567928730512,0.7394209354120267,0.7416481069042317,0.7504474228444161,0.009608694482608968,0.47441807162169103,0.3437541846196715,0.485954322440435,0.5728918992315463,0.5360562674188974,0.48261494906644825,0.07793144982031053,8,0.5090097337879789,0.5323531172001182,0.5011111111111111,0.47971123959493767,0.4836417804286023,0.5011653964245497,0.018981930700455042
