,svm,rf,knn,lr
svm,1.0,1.671588568578855e-16,1.9282574740546754e-12,1.5621793502418423e-18
rf,1.671588568578867e-16,1.0,2.8918403949019274e-11,3.7411930035889057e-16
knn,1.928257474054678e-12,2.8918403949019083e-11,1.0,4.145647061543302e-10
lr,1.5621793502418533e-18,3.741193003588985e-16,4.14564706154336e-10,1.0
