,svm,rf,knn,lr,mlp
svm,1.0,8.363123128740663e-23,2.4292414198565195e-16,5.6249807120482e-26,1.950219131328157e-25
rf,8.363123128740603e-23,1.0,3.827449854509264e-13,5.49576662745811e-22,8.437833695357417e-20
knn,2.4292414198565155e-16,3.827449854509264e-13,1.0,5.515381331086389e-17,1.3200720055763223e-16
lr,5.62498071204828e-26,5.4957666274581495e-22,5.515381331086429e-17,1.0,1.3001460875521135e-26
mlp,1.9502191313281432e-25,8.437833695357357e-20,1.3200720055763126e-16,1.3001460875520948e-26,1.0
