,svm,rf,knn,lr,mlp
svm,1.0,9.922129342016411e-23,2.5297144883232985e-16,4.813899899946827e-29,6.286681940427108e-25
rf,9.922129342016276e-23,1.0,1.5934850468523484e-19,1.5249843561170482e-23,1.0127225026405428e-23
knn,2.5297144883232985e-16,1.5934850468523272e-19,1.0,2.7618030285958223e-15,3.6897362964328725e-15
lr,4.813899899946827e-29,1.5249843561170156e-23,2.761803028595798e-15,1.0,7.3242303231813264e-28
mlp,6.286681940427107e-25,1.0127225026405303e-23,3.6897362964328725e-15,7.3242303231814305e-28,1.0
