,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '82.00±4.00'}","{'Train': '100.00±0.00', 'Val': '79.00±5.00'}","{'Train': '91.00±1.00', 'Val': '85.00±1.00'}","{'Train': '100.00±0.00', 'Val': '84.00±2.00'}","{'Train': '100.00±0.00', 'Val': '84.00±2.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '88.00±2.00'}","{'Train': '100.00±0.00', 'Val': '84.00±5.00'}","{'Train': '88.00±0.00', 'Val': '75.00±2.00'}","{'Train': '100.00±0.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '85.00±5.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '85.00±3.00'}","{'Train': '100.00±0.00', 'Val': '81.00±4.00'}","{'Train': '90.00±0.00', 'Val': '80.00±0.00'}","{'Train': '100.00±0.00', 'Val': '85.00±2.00'}","{'Train': '100.00±0.00', 'Val': '84.00±3.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.70±0.05'}","{'Train': '1.00±0.00', 'Val': '0.63±0.08'}","{'Train': '0.79±0.01', 'Val': '0.60±0.01'}","{'Train': '1.00±0.00', 'Val': '0.70±0.04'}","{'Train': '1.00±0.00', 'Val': '0.68±0.06'}"
