,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '85.00±4.00'}","{'Train': '100.00±0.00', 'Val': '90.00±7.00'}","{'Train': '100.00±0.00', 'Val': '92.00±3.00'}","{'Train': '100.00±0.00', 'Val': '93.00±3.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '94.00±3.00'}","{'Train': '100.00±0.00', 'Val': '91.00±5.00'}","{'Train': '100.00±0.00', 'Val': '84.00±7.00'}","{'Train': '100.00±0.00', 'Val': '93.00±3.00'}","{'Train': '100.00±0.00', 'Val': '95.00±3.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}","{'Train': '100.00±0.00', 'Val': '87.00±5.00'}","{'Train': '100.00±0.00', 'Val': '92.00±1.00'}","{'Train': '100.00±0.00', 'Val': '94.00±2.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.87±0.04'}","{'Train': '1.00±0.00', 'Val': '0.78±0.03'}","{'Train': '1.00±0.00', 'Val': '0.74±0.09'}","{'Train': '1.00±0.00', 'Val': '0.84±0.02'}","{'Train': '1.00±0.00', 'Val': '0.88±0.05'}"
