,svm,rf,knn,lr
Sensitivity,"{'Train': '100.00±0.00', 'Val': '83.00±4.00'}","{'Train': '100.00±0.00', 'Val': '76.00±3.00'}","{'Train': '100.00±0.00', 'Val': '88.00±3.00'}","{'Train': '100.00±0.00', 'Val': '85.00±5.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '88.00±4.00'}","{'Train': '100.00±0.00', 'Val': '92.00±3.00'}","{'Train': '100.00±0.00', 'Val': '54.00±9.00'}","{'Train': '100.00±0.00', 'Val': '87.00±3.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '86.00±1.00'}","{'Train': '100.00±0.00', 'Val': '84.00±2.00'}","{'Train': '100.00±0.00', 'Val': '69.00±4.00'}","{'Train': '100.00±0.00', 'Val': '86.00±4.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.71±0.02'}","{'Train': '1.00±0.00', 'Val': '0.69±0.04'}","{'Train': '1.00±0.00', 'Val': '0.44±0.05'}","{'Train': '1.00±0.00', 'Val': '0.73±0.08'}"
