,svm,rf,knn,lr,mlp
svm,1.0,3.377651814054336e-15,9.140615421737689e-11,2.0376369911530897e-22,1.1173099948914494e-24
rf,3.377651814054407e-15,1.0,2.4582611074858952e-15,2.001620028284482e-20,1.0217006114803238e-13
knn,9.140615421737566e-11,2.4582611074858636e-15,1.0,1.9224770975258104e-13,1.3853925219766326e-09
lr,2.0376369911530897e-22,2.0016200282844406e-20,1.9224770975258122e-13,1.0,2.294500329163542e-20
mlp,1.1173099948914494e-24,1.0217006114803089e-13,1.3853925219766523e-09,2.294500329163542e-20,1.0
