,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '99.00±0.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '78.00±3.00'}","{'Train': '100.00±0.00', 'Val': '88.00±4.00'}","{'Train': '95.00±1.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '88.00±3.00'}"
Specificity,"{'Train': '99.00±1.00', 'Val': '87.00±6.00'}","{'Train': '100.00±0.00', 'Val': '95.00±4.00'}","{'Train': '100.00±0.00', 'Val': '61.00±7.00'}","{'Train': '97.00±0.00', 'Val': '88.00±6.00'}","{'Train': '100.00±0.00', 'Val': '91.00±4.00'}"
Accuracy,"{'Train': '99.00±0.00', 'Val': '88.00±4.00'}","{'Train': '100.00±0.00', 'Val': '87.00±1.00'}","{'Train': '100.00±0.00', 'Val': '73.00±5.00'}","{'Train': '96.00±0.00', 'Val': '87.00±4.00'}","{'Train': '100.00±0.00', 'Val': '89.00±3.00'}"
MCC,"{'Train': '0.99±0.01', 'Val': '0.76±0.07'}","{'Train': '1.00±0.00', 'Val': '0.75±0.03'}","{'Train': '1.00±0.00', 'Val': '0.50±0.10'}","{'Train': '0.92±0.01', 'Val': '0.74±0.07'}","{'Train': '1.00±0.00', 'Val': '0.78±0.06'}"
