,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '92.00±2.00'}","{'Train': '100.00±0.00', 'Val': '81.00±6.00'}","{'Train': '100.00±0.00', 'Val': '90.00±4.00'}","{'Train': '100.00±0.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '90.00±4.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '92.00±4.00'}","{'Train': '100.00±0.00', 'Val': '94.00±5.00'}","{'Train': '100.00±0.00', 'Val': '76.00±4.00'}","{'Train': '100.00±0.00', 'Val': '92.00±3.00'}","{'Train': '100.00±0.00', 'Val': '92.00±3.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '92.00±2.00'}","{'Train': '100.00±0.00', 'Val': '88.00±2.00'}","{'Train': '100.00±0.00', 'Val': '83.00±2.00'}","{'Train': '100.00±0.00', 'Val': '91.00±1.00'}","{'Train': '100.00±0.00', 'Val': '91.00±1.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.84±0.03'}","{'Train': '1.00±0.00', 'Val': '0.76±0.03'}","{'Train': '1.00±0.00', 'Val': '0.67±0.03'}","{'Train': '1.00±0.00', 'Val': '0.82±0.02'}","{'Train': '1.00±0.00', 'Val': '0.82±0.03'}"
