,svm,rf,knn,lr,mlp
svm,1.0,7.483950204756949e-17,9.281697864957049e-08,4.972043309115612e-16,8.15031854272825e-18
rf,7.483950204756895e-17,1.0,8.860359340153638e-09,6.1229305789976775e-15,1.4206622256310485e-13
knn,9.28169786495704e-08,8.860359340153701e-09,1.0,9.28169786495704e-08,9.28169786495704e-08
lr,4.972043309115612e-16,6.12293057899772e-15,9.281697864957049e-08,1.0,2.163387162958548e-24
mlp,8.15031854272825e-18,1.4206622256310487e-13,9.281697864957049e-08,2.163387162958548e-24,1.0
