,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '67.00±3.00'}","{'Train': '99.00±1.00', 'Val': '13.00±2.00'}","{'Train': '100.00±0.00', 'Val': '53.00±6.00'}","{'Train': '86.00±1.00', 'Val': '64.00±5.00'}","{'Train': '100.00±0.00', 'Val': '70.00±6.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '99.00±0.00'}","{'Train': '100.00±0.00', 'Val': '100.00±0.00'}","{'Train': '100.00±0.00', 'Val': '99.00±0.00'}","{'Train': '100.00±0.00', 'Val': '99.00±0.00'}","{'Train': '100.00±0.00', 'Val': '99.00±0.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '97.00±0.00'}","{'Train': '100.00±0.00', 'Val': '94.00±0.00'}","{'Train': '100.00±0.00', 'Val': '96.00±0.00'}","{'Train': '99.00±0.00', 'Val': '97.00±0.00'}","{'Train': '100.00±0.00', 'Val': '97.00±0.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.75±0.04'}","{'Train': '0.99±0.01', 'Val': '0.34±0.04'}","{'Train': '1.00±0.00', 'Val': '0.63±0.03'}","{'Train': '0.92±0.01', 'Val': '0.72±0.03'}","{'Train': '1.00±0.00', 'Val': '0.74±0.03'}"
