mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.015307474136352538,0.001501212759755146,0.004041099548339843,0.0012169366205920724,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,15,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027179861068725587,0.005107903165759516,0.0035519123077392576,0.0009017096745287098,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,15,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030715274810791015,0.00910505067099787,0.0047339916229248045,0.0014910970770154691,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7959183673469388,0.7708333333333334,0.6875,0.7291666666666666,0.6666666666666666,0.730017006802721,0.04864287486198969,13,0.7447916666666666,0.7823834196891192,0.7564766839378239,0.7512953367875648,0.7668393782383419,0.7603572970639033,0.01316536810120153,0.9642857142857143,0.9464285714285714,0.875,0.8392857142857143,0.9642857142857143,0.9178571428571429,0.051259643194311866,7,0.9285714285714286,0.9285714285714286,0.9375,0.9508928571428571,0.9151785714285714,0.9321428571428572,0.011777594605600811,0.8857142857142857,0.8653846153846154,0.7884615384615384,0.7884615384615384,0.8269230769230769,0.8309890109890109,0.03952623674086391,12,0.84375,0.8609112709832134,0.8537170263788969,0.8585131894484412,0.8465227817745803,0.8526828537170263,0.006640956864909777,0.7773924799895165,0.7349747424393641,0.5763909805852274,0.5735968512495059,0.6705369847660722,0.6665784078059371,0.08216182739580738,12,0.6908103093758845,0.7234631982270355,0.7115755056088257,0.7235584739270999,0.6940171915579172,0.7086849357393525,0.014018698666803288
0.0994424819946289,0.0338885095442021,0.0042136192321777345,0.0013752238460407388,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7959183673469388,0.7708333333333334,0.6875,0.7083333333333334,0.625,0.7175170068027211,0.06088375992565664,14,0.7291666666666666,0.7461139896373057,0.7409326424870466,0.7461139896373057,0.7512953367875648,0.7427245250431779,0.007529437180558931,0.9642857142857143,0.9642857142857143,0.875,0.8928571428571429,0.9642857142857143,0.9321428571428572,0.03976974544878587,3,0.9285714285714286,0.9285714285714286,0.9508928571428571,0.9598214285714286,0.9285714285714286,0.9392857142857144,0.013422586052118655,0.8857142857142857,0.875,0.7884615384615384,0.8076923076923077,0.8076923076923077,0.8329120879120879,0.03951554228853759,11,0.8365384615384616,0.8441247002398081,0.8537170263788969,0.8609112709832134,0.8465227817745803,0.8483628481829921,0.008334194632016324,0.7773924799895165,0.7569781192451159,0.5763909805852274,0.6160369210487616,0.6365013185936291,0.6726599638924501,0.07982453884342712,11,0.6772962119561564,0.6917950252515909,0.7147612413439671,0.7303313722940508,0.6962954457787977,0.7020958593249126,0.018506380434032337
0.030060386657714842,0.008972639758786797,0.004191350936889648,0.0014168570641954479,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8163265306122449,0.8125,0.7291666666666666,0.7708333333333334,0.6875,0.763265306122449,0.04939619921816092,11,0.8125,0.8186528497409327,0.8082901554404145,0.8238341968911918,0.8082901554404145,0.8143134715025907,0.006088082901554426,0.8928571428571429,0.8571428571428571,0.8214285714285714,0.875,0.9285714285714286,0.875,0.03571428571428574,15,0.8883928571428571,0.8928571428571429,0.9151785714285714,0.8928571428571429,0.8660714285714286,0.8910714285714285,0.01561862114690704,0.8571428571428571,0.8365384615384616,0.7788461538461539,0.8269230769230769,0.8173076923076923,0.8233516483516483,0.025867977816117223,13,0.8533653846153846,0.8585131894484412,0.8657074340527577,0.8609112709832134,0.8393285371702638,0.8555651632540121,0.009039960573949122,0.7130924868704163,0.6707667340574942,0.5540064493362841,0.6516780980164544,0.6415159177578547,0.6462119372077006,0.05221059179474609,13,0.7047791361777455,0.71534252334318,0.730963546628796,0.7201141533030452,0.6764458297454594,0.7095290378396453,0.018559847379256228
0.6437407970428467,0.04761022969432381,0.00603790283203125,0.0022821218429475523,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.8163265306122449,0.8125,0.7291666666666666,0.7083333333333334,0.7083333333333334,0.7549319727891157,0.049173340104357706,12,0.796875,0.8134715025906736,0.8186528497409327,0.8031088082901554,0.8186528497409327,0.8101522020725389,0.008734223129079947,0.8928571428571429,0.8928571428571429,0.8035714285714286,0.8571428571428571,0.9107142857142857,0.8714285714285716,0.03813242232868325,16,0.8928571428571429,0.8883928571428571,0.9151785714285714,0.90625,0.875,0.8955357142857142,0.014003917090498317,0.8571428571428571,0.8557692307692307,0.7692307692307693,0.7884615384615384,0.8173076923076923,0.8175824175824176,0.03523987529106945,14,0.8485576923076923,0.8537170263788969,0.8705035971223022,0.8585131894484412,0.8489208633093526,0.8560424737133371,0.00809166879246415,0.7130924868704163,0.709727181041618,0.534731136599163,0.5745243840484808,0.6374552583116766,0.633906089374271,0.07126538890027315,14,0.6954557549424534,0.7056449345189243,0.7402982334818128,0.7161496340339144,0.6957967188861507,0.7106690551726511,0.01664810878620583
0.04197173118591309,0.004096138060710966,0.004631423950195312,0.0014724962959668407,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8775510204081632,0.8333333333333334,0.8333333333333334,0.8541666666666666,0.7916666666666666,0.8380102040816327,0.02834070267002913,9,0.8697916666666666,0.8860103626943006,0.8652849740932642,0.8704663212435233,0.8652849740932642,0.8713676597582036,0.0076381024399299466,0.9642857142857143,0.9464285714285714,0.875,0.8571428571428571,0.9464285714285714,0.9178571428571429,0.04315373561998063,7,0.9642857142857143,0.9464285714285714,0.9642857142857143,0.9732142857142857,0.9732142857142857,0.9642857142857142,0.0097807599554494,0.9238095238095239,0.8942307692307693,0.8557692307692307,0.8557692307692307,0.875,0.880915750915751,0.02575599551812255,10,0.9206730769230769,0.9184652278177458,0.9184652278177458,0.9256594724220624,0.9232613908872902,0.9213048791735842,0.0028041695446151893,0.8486684247915055,0.7893643360604823,0.7095221453585938,0.7103851445706375,0.7529477373319424,0.7621775576226324,0.05245955985041266,10,0.8422740524083445,0.8364145413461783,0.8381646780795837,0.8531059464576729,0.8485694307719913,0.8437057298127542,0.006291804888064928
0.2709230899810791,0.022610106924208454,0.004557466506958008,0.0016453145230828365,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8775510204081632,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8338435374149661,0.02716620481529991,10,0.8645833333333334,0.8860103626943006,0.8601036269430051,0.8704663212435233,0.8652849740932642,0.8692897236614854,0.008983725880525564,0.9642857142857143,0.9464285714285714,0.8928571428571429,0.875,0.9464285714285714,0.925,0.03462628469583091,4,0.96875,0.9464285714285714,0.9642857142857143,0.9732142857142857,0.9598214285714286,0.9625,0.009192526911595543,0.9238095238095239,0.8942307692307693,0.8653846153846154,0.8557692307692307,0.875,0.8828388278388278,0.024113208400354122,9,0.9206730769230769,0.9184652278177458,0.9160671462829736,0.9256594724220624,0.9160671462829736,0.9193864139457665,0.003574644703496892,0.8486684247915055,0.7893643360604823,0.7289072476547251,0.7095221453585938,0.7529477373319424,0.7658819782394499,0.04922575121534624,9,0.8428827950752665,0.8364145413461783,0.8335991646584269,0.8531059464576729,0.8330053019735795,0.8398015499022249,0.007518396572406149
0.10651235580444336,0.013095548975774978,0.003309154510498047,0.00016259116478529342,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.8979591836734694,0.8958333333333334,0.8541666666666666,0.8958333333333334,0.875,0.8837585034013606,0.017003826270150017,5,0.9895833333333334,0.9948186528497409,0.9896373056994818,0.9948186528497409,0.9948186528497409,0.9927353195164077,0.0025516088979891465,0.9107142857142857,0.9107142857142857,0.8392857142857143,0.8571428571428571,0.9464285714285714,0.8928571428571429,0.03912303982179757,13,0.9910714285714286,0.9910714285714286,0.9821428571428571,0.9910714285714286,0.9910714285714286,0.9892857142857144,0.003571428571428603,0.9047619047619048,0.9038461538461539,0.8461538461538461,0.875,0.9134615384615384,0.8886446886446887,0.02489327000723114,8,0.9903846153846154,0.9928057553956835,0.9856115107913669,0.9928057553956835,0.9928057553956835,0.9908826784726067,0.002797425606502454,0.8086734693877551,0.8065476190476191,0.691909659617721,0.7508840047417884,0.8265177298206184,0.7769064965231004,0.04949877481559744,8,0.9806547619047619,0.985548189787559,0.9711289484626703,0.985548189787559,0.985548189787559,0.9816856559460219,0.0056082852717103315
0.7563464164733886,0.046533896571334846,0.004788112640380859,0.0014665948811890834,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.8775510204081632,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8958333333333334,0.8671768707482993,0.01695058736321492,8,0.96875,0.9740932642487047,0.9689119170984456,0.9740932642487047,0.9637305699481865,0.9699158031088082,0.0038865500488801945,0.9107142857142857,0.8928571428571429,0.875,0.9285714285714286,0.9642857142857143,0.9142857142857144,0.030722590239437957,11,0.9866071428571429,0.9866071428571429,0.9776785714285714,0.9910714285714286,0.9910714285714286,0.9866071428571429,0.004890379977724721,0.8952380952380953,0.875,0.8653846153846154,0.8942307692307693,0.9326923076923077,0.8925091575091575,0.023097220563680645,6,0.9783653846153846,0.9808153477218226,0.973621103117506,0.9832134292565947,0.9784172661870504,0.9788865061796717,0.0031830462224366,0.7894168995868934,0.7482775566596935,0.7291666666666666,0.787587546894285,0.865447912746952,0.783979316510898,0.04681615329840873,6,0.9565254900502996,0.9614345729846496,0.9469410126969748,0.966305298687517,0.9567959255553218,0.9576004599949526,0.006417184613616081
