,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '85.00±1.00'}","{'Train': '100.00±0.00', 'Val': '78.00±4.00'}","{'Train': '89.00±1.00', 'Val': '84.00±1.00'}","{'Train': '100.00±0.00', 'Val': '85.00±2.00'}","{'Train': '100.00±0.00', 'Val': '83.00±2.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '85.00±2.00'}","{'Train': '100.00±0.00', 'Val': '85.00±5.00'}","{'Train': '88.00±1.00', 'Val': '75.00±3.00'}","{'Train': '100.00±0.00', 'Val': '86.00±5.00'}","{'Train': '100.00±0.00', 'Val': '85.00±5.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '85.00±1.00'}","{'Train': '100.00±0.00', 'Val': '81.00±4.00'}","{'Train': '89.00±1.00', 'Val': '80.00±2.00'}","{'Train': '100.00±0.00', 'Val': '86.00±2.00'}","{'Train': '100.00±0.00', 'Val': '84.00±3.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.70±0.03'}","{'Train': '1.00±0.00', 'Val': '0.63±0.08'}","{'Train': '0.77±0.02', 'Val': '0.60±0.04'}","{'Train': '1.00±0.00', 'Val': '0.71±0.04'}","{'Train': '1.00±0.00', 'Val': '0.69±0.07'}"
