,svm,rf,knn,lr
svm,1.0,5.6068117314144605e-15,5.575303706972442e-17,6.610912309586959e-28
rf,5.606811731414461e-15,1.0,7.372344973450869e-11,2.4819504276998638e-15
knn,5.575303706972442e-17,7.372344973450847e-11,1.0,6.04754808704786e-16
lr,6.6109123095868645e-28,2.4819504276998393e-15,6.047548087047789e-16,1.0
