,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '98.00±1.00', 'Val': '90.00±4.00'}","{'Train': '100.00±0.00', 'Val': '81.00±4.00'}","{'Train': '100.00±0.00', 'Val': '93.00±6.00'}","{'Train': '100.00±0.00', 'Val': '92.00±4.00'}","{'Train': '100.00±0.00', 'Val': '91.00±4.00'}"
Specificity,"{'Train': '99.00±1.00', 'Val': '91.00±5.00'}","{'Train': '100.00±0.00', 'Val': '95.00±3.00'}","{'Train': '100.00±0.00', 'Val': '64.00±5.00'}","{'Train': '100.00±0.00', 'Val': '89.00±5.00'}","{'Train': '100.00±0.00', 'Val': '91.00±4.00'}"
Accuracy,"{'Train': '98.00±1.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '88.00±2.00'}","{'Train': '100.00±0.00', 'Val': '77.00±5.00'}","{'Train': '100.00±0.00', 'Val': '90.00±4.00'}","{'Train': '100.00±0.00', 'Val': '91.00±4.00'}"
MCC,"{'Train': '0.97±0.01', 'Val': '0.81±0.07'}","{'Train': '1.00±0.00', 'Val': '0.77±0.03'}","{'Train': '1.00±0.00', 'Val': '0.58±0.10'}","{'Train': '1.00±0.00', 'Val': '0.81±0.07'}","{'Train': '1.00±0.00', 'Val': '0.82±0.07'}"
