mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.01821417808532715,0.007594993960783844,0.003257417678833008,0.0009736889909360284,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,15,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04438033103942871,0.0029355772691193696,0.003154420852661133,0.0006670664610006337,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5374358974358974,0.0020512820512820443,15,0.5384615384615384,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5371702637889688,0.5374285187234827,0.0005165098690278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.036534452438354494,0.008675931792645118,0.0038156986236572267,0.0012695829266051067,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7959183673469388,0.7708333333333334,0.6666666666666666,0.6458333333333334,0.7291666666666666,0.7216836734693877,0.057900983002556326,13,0.71875,0.8290155440414507,0.7409326424870466,0.8134715025906736,0.7409326424870466,0.7686204663212435,0.043998807837751536,0.9107142857142857,0.7857142857142857,0.875,0.8392857142857143,0.8035714285714286,0.8428571428571429,0.04573660169594891,7,0.8526785714285714,0.8616071428571429,0.8571428571428571,0.8526785714285714,0.8482142857142857,0.8544642857142858,0.0045526959942792915,0.8571428571428571,0.7788461538461539,0.7788461538461539,0.75,0.7692307692307693,0.7868131868131868,0.036708478281347434,11,0.7908653846153846,0.8465227817745803,0.8033573141486811,0.8345323741007195,0.7985611510791367,0.8147678011437005,0.021740273111038502,0.7144872772877092,0.5558243599778628,0.557773351022717,0.4970990996581591,0.534731136599163,0.5719830449091222,0.07451950707559225,11,0.5789692222731918,0.6911504597694047,0.6042713003687742,0.6669373123927959,0.5943387236180228,0.6271334036844378,0.04381892239190533
0.0765953540802002,0.005586441403916963,0.0036510944366455076,0.000938538379981907,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7959183673469388,0.75,0.625,0.625,0.6666666666666666,0.6925170068027211,0.06896588775570252,14,0.671875,0.772020725388601,0.6994818652849741,0.7616580310880829,0.7150259067357513,0.7240123056994818,0.03774335840898857,0.9285714285714286,0.7857142857142857,0.8928571428571429,0.8571428571428571,0.8392857142857143,0.8607142857142858,0.04844521416518051,3,0.875,0.8883928571428571,0.8794642857142857,0.875,0.8928571428571429,0.8821428571428571,0.007253605718424972,0.8666666666666667,0.7692307692307693,0.7692307692307693,0.75,0.7596153846153846,0.7829487179487179,0.04246203393740401,12,0.78125,0.8345323741007195,0.7961630695443646,0.8225419664268585,0.8105515587529976,0.809007793764988,0.018828400337246993,0.7350117029054672,0.5357142857142857,0.5426488617097118,0.4991448599864115,0.5161335296227024,0.5657306479877158,0.08600391587578768,12,0.5624228873522071,0.6677915193648357,0.5922611385138056,0.6432535299872425,0.6218635470910867,0.6175185244618355,0.03709988819660274
0.04162721633911133,0.009100478752107165,0.0028292179107666016,0.00012398578543819816,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8367346938775511,0.8125,0.7708333333333334,0.7708333333333334,0.7291666666666666,0.7840136054421769,0.03727361983893007,9,0.7864583333333334,0.8290155440414507,0.8134715025906736,0.8393782383419689,0.8238341968911918,0.8184315630397236,0.0180380815504946,0.875,0.6607142857142857,0.8571428571428571,0.75,0.75,0.7785714285714286,0.07873359887517357,16,0.8169642857142857,0.8303571428571429,0.8258928571428571,0.8482142857142857,0.8482142857142857,0.8339285714285714,0.012436060961771536,0.8571428571428571,0.7307692307692307,0.8173076923076923,0.7596153846153846,0.7403846153846154,0.781043956043956,0.04846857739615832,13,0.8028846153846154,0.829736211031175,0.8201438848920863,0.8441247002398081,0.8369304556354916,0.8267639734366353,0.014336217807125393,0.7127744821512727,0.4749846408897594,0.631866815188951,0.5193861692877983,0.47854396768147545,0.5635112150398515,0.09376077868442759,13,0.6034226190476191,0.65838353980991,0.6387441193032362,0.6869254980068739,0.6720484826054774,0.6519048517546233,0.028975564510848015
0.6940540313720703,0.0831386668659677,0.0053958892822265625,0.0021648437493676687,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.7959183673469388,0.7916666666666666,0.7083333333333334,0.7708333333333334,0.7708333333333334,0.7675170068027212,0.0313513846614573,11,0.796875,0.8031088082901554,0.7979274611398963,0.8341968911917098,0.8082901554404145,0.8080796632124352,0.01367826734337035,0.875,0.6607142857142857,0.8571428571428571,0.7678571428571429,0.75,0.7821428571428571,0.07775550377527585,15,0.8035714285714286,0.8169642857142857,0.8214285714285714,0.84375,0.8303571428571429,0.8232142857142858,0.013422586052118666,0.8380952380952381,0.7211538461538461,0.7884615384615384,0.7692307692307693,0.7596153846153846,0.7753113553113553,0.03829129424718254,14,0.8004807692307693,0.8105515587529976,0.8105515587529976,0.8393285371702638,0.8201438848920863,0.816211261759823,0.013125447181411657,0.67461627355007,0.45314019367439606,0.5745243840484808,0.5374920531794313,0.5193861692877983,0.5518318147480353,0.07292374204068615,14,0.5995062554348057,0.6194715678217811,0.6191412493489672,0.6772892222661463,0.6384258251615247,0.630766824006645,0.0263171190837588
0.054575777053833006,0.008641721917219349,0.0034726619720458984,0.001197736585310824,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8571428571428571,0.7708333333333334,0.75,0.7083333333333334,0.75,0.7672619047619048,0.04931503613620945,12,0.8541666666666666,0.8963730569948186,0.8704663212435233,0.8652849740932642,0.8652849740932642,0.8703151986183073,0.01407420493637934,0.9107142857142857,0.7678571428571429,0.8928571428571429,0.8035714285714286,0.8214285714285714,0.8392857142857142,0.05416339602893964,11,0.8794642857142857,0.9017857142857143,0.90625,0.8973214285714286,0.9017857142857143,0.8973214285714286,0.009364364715804934,0.8857142857142857,0.7692307692307693,0.8269230769230769,0.7596153846153846,0.7884615384615384,0.8059890109890111,0.046050512266318365,10,0.8677884615384616,0.8992805755395683,0.8896882494004796,0.882494004796163,0.8848920863309353,0.8848286755211214,0.0102790707102514,0.7703880833533538,0.5374920531794313,0.6531435102866939,0.5150762664099506,0.5735663588102755,0.609933254407941,0.09293116296259381,10,0.7339125716433427,0.7976239049712678,0.7779770205332384,0.7635076305523834,0.7683157317050314,0.7682673718810528,0.02077976461650691
0.3263064384460449,0.03973348294919247,0.005246973037719727,0.0015861098450747901,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8571428571428571,0.7708333333333334,0.75,0.75,0.75,0.7755952380952381,0.04156450059546687,10,0.8489583333333334,0.8963730569948186,0.8601036269430051,0.8601036269430051,0.8601036269430051,0.8651284542314335,0.01620768138591397,0.9285714285714286,0.75,0.875,0.8035714285714286,0.8392857142857143,0.8392857142857144,0.06081923702116572,10,0.8705357142857143,0.9017857142857143,0.9107142857142857,0.8928571428571429,0.8883928571428571,0.8928571428571429,0.013540849007234908,0.8952380952380953,0.7596153846153846,0.8173076923076923,0.7788461538461539,0.7980769230769231,0.8098168498168498,0.04684036483137447,9,0.8605769230769231,0.8992805755395683,0.8872901678657075,0.8776978417266187,0.8752997601918465,0.8800290536801327,0.012880458254232705,0.7900449135111086,0.5193861692877983,0.6326966052393178,0.5545005001541952,0.5929366322626176,0.6179129640910076,0.09402175395630451,9,0.7194940476190477,0.7976239049712678,0.7732002754489158,0.7538505987364246,0.7490684840298143,0.758647462161094,0.025995015136678574
0.16546201705932617,0.06470166508578377,0.004227399826049805,0.0009786814977537082,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.8979591836734694,0.8333333333333334,0.8125,0.8333333333333334,0.8333333333333334,0.8420918367346939,0.029075664741516117,3,0.953125,0.9637305699481865,0.9533678756476683,0.9637305699481865,0.9481865284974094,0.95642810880829,0.006242612885913463,0.8214285714285714,0.7678571428571429,0.9285714285714286,0.8392857142857143,0.8214285714285714,0.8357142857142857,0.0522454958511707,13,0.96875,0.9732142857142857,0.96875,0.9598214285714286,0.9508928571428571,0.9642857142857142,0.007985957062499258,0.8571428571428571,0.7980769230769231,0.875,0.8365384615384616,0.8269230769230769,0.8387362637362636,0.02627327520001148,7,0.9615384615384616,0.9688249400479616,0.9616306954436451,0.9616306954436451,0.9496402877697842,0.9606530160486996,0.006176669874760672,0.7180804893387656,0.5995200354064872,0.7501974033551911,0.6717449484224438,0.6533052580081485,0.6785696269062071,0.052202201290150026,7,0.9226046541869061,0.9372918080371346,0.9228225568110432,0.9229331030483918,0.8987675986310504,0.9208839441429053,0.012403780477933527
0.8811215400695801,0.09427691600953735,0.004551315307617187,0.002606893094139047,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.9183673469387755,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8420068027210885,0.0414505711054987,5,0.9270833333333334,0.9326424870466321,0.9326424870466321,0.927461139896373,0.917098445595855,0.927385578583765,0.00567789291882554,0.8392857142857143,0.75,0.9107142857142857,0.8214285714285714,0.8928571428571429,0.8428571428571429,0.05691920518039011,7,0.9151785714285714,0.9375,0.9419642857142857,0.9330357142857143,0.9241071428571429,0.9303571428571429,0.009616365727025901,0.8761904761904762,0.7884615384615384,0.8557692307692307,0.8269230769230769,0.8653846153846154,0.8425457875457877,0.03161522313045202,3,0.9206730769230769,0.935251798561151,0.9376498800959233,0.9304556354916067,0.920863309352518,0.9289787400848553,0.007093171481211225,0.7562762600482743,0.5820355934981687,0.7110304706499001,0.6533052580081485,0.7289072476547251,0.6863109659718434,0.06210212486323739,2,0.8409430993211897,0.8698407349122143,0.8746067727609178,0.8601984470059355,0.840913871193378,0.857300585038727,0.014150963401514486
