,svm,rf,knn,lr,mlp
svm,1.0,9.922129342016313e-23,2.5456662543238735e-19,2.4282573757601026e-27,1.5180803522862706e-28
rf,9.922129342016454e-23,1.0,2.250377428342691e-16,8.751486932074465e-25,8.463146809484214e-22
knn,2.5456662543238735e-19,2.2503774283427065e-16,1.0,1.0403207430290143e-19,1.3888272957566004e-16
lr,2.4282573757601026e-27,8.75148693207435e-25,1.0403207430289925e-19,1.0,4.813899899946827e-29
mlp,1.5180803522862703e-28,8.463146809484115e-22,1.3888272957565863e-16,4.813899899946827e-29,1.0
