,Sensitivity,Specificity,Accuracy,MCC
Train,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00
Val,0.88 ± 0.02,0.99 ± 0.00,0.98 ± 0.00,0.87 ± 0.02
