Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,MCC
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,SVM,0.79±0.05
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,RF,0.71±0.09
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,kNN,0.59±0.06
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,LR,0.80±0.06
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,FFNN,0.79±0.08
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,SVM,0.84±0.04
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,RF,0.78±0.04
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,kNN,0.67±0.03
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,LR,0.84±0.05
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,FFNN,0.82±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,SVM,0.88±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,RF,0.80±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,kNN,0.67±0.10
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,LR,0.84±0.03
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,FFNN,0.85±0.04
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,SVM,0.73±0.07
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,RF,0.63±0.09
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,kNN,0.54±0.06
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,LR,0.76±0.03
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,FFNN,0.77±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,SVM,0.76±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,RF,0.70±0.11
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,kNN,0.55±0.06
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,LR,0.74±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,FFNN,0.76±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,SVM,0.76±0.09
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,RF,0.71±0.08
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,kNN,0.50±0.07
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,LR,0.74±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,FFNN,0.75±0.05
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,SVM,0.73±0.06
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,RF,0.62±0.07
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,kNN,0.51±0.05
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,LR,0.73±0.05
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,FFNN,0.75±0.05
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,SVM,0.84±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,RF,0.76±0.06
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,kNN,0.62±0.06
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,LR,0.83±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,FFNN,0.83±0.01
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,SVM,0.70±0.05
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,RF,0.66±0.03
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,kNN,0.58±0.04
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,LR,0.71±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,FFNN,0.69±0.06
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,SVM,0.86±0.07
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,RF,0.82±0.05
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,kNN,0.45±0.07
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,LR,0.87±0.08
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,FFNN,0.85±0.07
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,SVM,0.85±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,RF,0.77±0.05
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,kNN,0.65±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,LR,0.82±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,FFNN,0.82±0.03
