,svm,rf,knn,lr
Sensitivity,"{'Train': '100.00±0.00', 'Val': '90.00±6.00'}","{'Train': '100.00±0.00', 'Val': '78.00±3.00'}","{'Train': '100.00±0.00', 'Val': '94.00±3.00'}","{'Train': '100.00±0.00', 'Val': '89.00±5.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '92.00±3.00'}","{'Train': '100.00±0.00', 'Val': '95.00±3.00'}","{'Train': '100.00±0.00', 'Val': '61.00±2.00'}","{'Train': '100.00±0.00', 'Val': '91.00±4.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '91.00±3.00'}","{'Train': '100.00±0.00', 'Val': '87.00±2.00'}","{'Train': '100.00±0.00', 'Val': '76.00±2.00'}","{'Train': '100.00±0.00', 'Val': '90.00±4.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.83±0.07'}","{'Train': '1.00±0.00', 'Val': '0.75±0.05'}","{'Train': '1.00±0.00', 'Val': '0.57±0.04'}","{'Train': '1.00±0.00', 'Val': '0.81±0.07'}"
