mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.24564003944396973,0.013253046689447727,3.3084644317626952,0.16146358714902784,ball_tree,3,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'uniform'}",0.6428571428571429,0.6964285714285714,0.8214285714285714,0.7368421052631579,0.8214285714285714,0.743796992481203,0.07004900443416161,4,0.8533333333333334,0.8533333333333334,0.8355555555555556,0.84375,0.8311111111111111,0.8434166666666668,0.009055555555555563,0.9809663250366032,0.9809663250366032,0.9765739385065886,0.9809384164222874,0.9750733137829912,0.9789036637570148,0.002559240597655342,19,0.9930402930402931,0.9901098901098901,0.9901098901098901,0.9890150128158184,0.9915781764921274,0.9907706525136039,0.001397057461455606,0.9553450608930988,0.959404600811908,0.9648173207036536,0.9621109607577808,0.9634146341463414,0.9610185154625566,0.003351374344381892,13,0.9824027072758037,0.9796954314720813,0.97834179357022,0.9780033840947546,0.9793640054127198,0.9795614643651158,0.0015520830826972352,0.663503913240221,0.7009164381168252,0.7617604901585112,0.7296454663428884,0.754832946516015,0.7221318508748922,0.03628656482719744,7,0.8717690037705167,0.8539812430920656,0.8431060016471458,0.8414478906016677,0.8492352990504277,0.8519078876323647,0.010888436082585197
0.2498946189880371,0.011444517177384891,3.239524269104004,0.06096000932292009,ball_tree,3,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance'}",0.6607142857142857,0.6964285714285714,0.8214285714285714,0.7543859649122807,0.8214285714285714,0.7508771929824561,0.06490193790314176,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9809663250366032,0.9809663250366032,0.9765739385065886,0.9809384164222874,0.9750733137829912,0.9789036637570148,0.002559240597655342,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9566982408660352,0.959404600811908,0.9648173207036536,0.9634641407307172,0.9634146341463414,0.961559787451731,0.003031765334468881,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6761276068715492,0.7009164381168252,0.7617604901585112,0.7413174378239411,0.754832946516015,0.7269909838973684,0.033034242205155086,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.27771196365356443,0.007897193351982815,3.1932311058044434,0.029415106185513483,ball_tree,5,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.5892857142857143,0.6964285714285714,0.7678571428571429,0.7368421052631579,0.7321428571428571,0.7045112781954888,0.061909200981344066,10,0.7911111111111111,0.8,0.7688888888888888,0.7589285714285714,0.7644444444444445,0.7766746031746032,0.01598500966967434,0.9882869692532943,0.9780380673499268,0.9765739385065886,0.9765395894428153,0.9838709677419355,0.9806619064589122,0.004669671683678363,16,0.989010989010989,0.9875457875457876,0.9882783882783883,0.9875503478579275,0.990845844013182,0.9886462713412548,0.0012262617771946953,0.9580514208389715,0.9566982408660352,0.9607577807848444,0.9580514208389715,0.964769647696477,0.95966570220506,0.002872647930401068,19,0.9739424703891709,0.9732656514382403,0.9715736040609138,0.9702199661590525,0.9736129905277402,0.9725229365150234,0.0014113698449781324,0.6677153659396734,0.6858397819882491,0.7268560348552674,0.7077241632549367,0.7408731895261226,0.7058017071128498,0.02655574239823711,16,0.8088615040063696,0.8059108282448898,0.7903530648220306,0.7793670270534742,0.8030767381782195,0.7975138324609967,0.01105267612293825
0.2524880409240723,0.003669388193210035,3.24373459815979,0.06308000319397039,ball_tree,5,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.625,0.7142857142857143,0.7678571428571429,0.7719298245614035,0.7678571428571429,0.7293859649122807,0.056381717424051174,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9882869692532943,0.9795021961932651,0.9765739385065886,0.9765395894428153,0.9838709677419355,0.9809547322275798,0.004540062328716756,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9607577807848444,0.959404600811908,0.9607577807848444,0.9607577807848444,0.967479674796748,0.9618315235926378,0.0028722930581673166,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6933128585181719,0.7054868571865015,0.7268560348552674,0.7311275692920887,0.7644024333553983,0.7242371506414855,0.024394555569513313,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2720606803894043,0.022929835449506226,3.2086978912353517,0.04083221796192848,ball_tree,7,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'uniform'}",0.5714285714285714,0.6607142857142857,0.6785714285714286,0.7017543859649122,0.7142857142857143,0.6653508771929826,0.05047279309012758,19,0.7688888888888888,0.76,0.7244444444444444,0.7321428571428571,0.7022222222222222,0.7375396825396826,0.024228795213768018,0.9897510980966325,0.9809663250366032,0.9809663250366032,0.9809384164222874,0.9838709677419355,0.9832986264668124,0.0034179472215302474,10,0.9860805860805861,0.9875457875457876,0.9868131868131869,0.9882826803368729,0.9886488465763457,0.9874742174705557,0.0009399636162258108,0.9580514208389715,0.9566982408660352,0.9580514208389715,0.959404600811908,0.9634146341463414,0.9591240635004455,0.002309694250873557,22,0.9695431472081218,0.9702199661590525,0.9668358714043993,0.9688663282571912,0.9668470906630582,0.9684624807383646,0.0013910449929453723,0.6642399172319328,0.6761276068715492,0.688596354040015,0.7059191225986288,0.7289129117169554,0.6927591824918162,0.022748903708948078,22,0.7776222776355144,0.7803098761637103,0.7527198636128909,0.7662492677653303,0.7488824168732747,0.765156740410144,0.012694331558279736
0.255161714553833,0.004849196542146794,3.243990755081177,0.05384583373877599,ball_tree,7,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance'}",0.5892857142857143,0.6964285714285714,0.6964285714285714,0.7543859649122807,0.7142857142857143,0.6901629072681704,0.05470143711151644,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9897510980966325,0.9809663250366032,0.9824304538799414,0.9809384164222874,0.9838709677419355,0.9835914522354801,0.0032648790198441077,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.959404600811908,0.959404600811908,0.9607577807848444,0.9634641407307172,0.9634146341463414,0.9612891514571438,0.0018239337741560138,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6772389953254372,0.7009164381168252,0.7087689024280104,0.7413174378239411,0.7289129117169554,0.7114309370822338,0.022295974353264563,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.27602105140686034,0.012549125303978014,3.193109464645386,0.02653802704983116,ball_tree,9,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'uniform'}",0.625,0.6428571428571429,0.6428571428571429,0.7017543859649122,0.7142857142857143,0.6653508771929825,0.035665005793315045,22,0.7333333333333333,0.6844444444444444,0.7155555555555555,0.7098214285714286,0.6755555555555556,0.7037420634920635,0.02106674087695147,0.9926793557833089,0.9824304538799414,0.9780380673499268,0.9794721407624634,0.9868035190615836,0.9838847073674447,0.0053222946030496675,4,0.9868131868131869,0.9886446886446887,0.989010989010989,0.9868180153789821,0.9886488465763457,0.9879871452848384,0.0009657650930504479,0.9648173207036536,0.9566982408660352,0.952638700947226,0.9580514208389715,0.9661246612466124,0.9596660689204997,0.005080311057173766,16,0.9675126903553299,0.965482233502538,0.9681895093062606,0.9658206429780034,0.9648173207036536,0.966364479369157,0.0012741223226868073,0.7224351498877253,0.6714667887864607,0.6482512572640243,0.6983594277033,0.745678888392499,0.6972383024068018,0.03477507705713686,19,0.7586010724891984,0.7369184209646699,0.7599917835086468,0.7427130814460147,0.73089228741229,0.7458233291641638,0.011626890054507543
0.25379409790039065,0.006679205227653348,3.3213364124298095,0.14626973874655944,ball_tree,9,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance'}",0.625,0.6607142857142857,0.6428571428571429,0.7192982456140351,0.75,0.6795739348370927,0.0473708244871687,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9926793557833089,0.9824304538799414,0.9795021961932651,0.9794721407624634,0.9868035190615836,0.9841775331361123,0.005024511304627478,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9648173207036536,0.9580514208389715,0.9539918809201624,0.959404600811908,0.9688346883468835,0.9610199823243158,0.005221215051236788,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7224351498877253,0.6840541811314416,0.6557691217035552,0.7103210926329864,0.7692622763169488,0.7083683643345314,0.03812509921381254,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3466289520263672,0.014094275060800184,4.045505428314209,0.02351200523056031,kd_tree,3,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'uniform'}",0.6428571428571429,0.6964285714285714,0.8214285714285714,0.7368421052631579,0.8214285714285714,0.743796992481203,0.07004900443416161,4,0.8533333333333334,0.8533333333333334,0.8355555555555556,0.84375,0.8311111111111111,0.8434166666666668,0.009055555555555563,0.9809663250366032,0.9809663250366032,0.9765739385065886,0.9809384164222874,0.9750733137829912,0.9789036637570148,0.002559240597655342,19,0.9930402930402931,0.9901098901098901,0.9901098901098901,0.9890150128158184,0.9915781764921274,0.9907706525136039,0.001397057461455606,0.9553450608930988,0.959404600811908,0.9648173207036536,0.9621109607577808,0.9634146341463414,0.9610185154625566,0.003351374344381892,13,0.9824027072758037,0.9796954314720813,0.97834179357022,0.9780033840947546,0.9793640054127198,0.9795614643651158,0.0015520830826972352,0.663503913240221,0.7009164381168252,0.7617604901585112,0.7296454663428884,0.754832946516015,0.7221318508748922,0.03628656482719744,7,0.8717690037705167,0.8539812430920656,0.8431060016471458,0.8414478906016677,0.8492352990504277,0.8519078876323647,0.010888436082585197
0.3333240032196045,0.015007186933799137,4.165215635299683,0.11406957509010025,kd_tree,3,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance'}",0.6607142857142857,0.6964285714285714,0.8214285714285714,0.7543859649122807,0.8214285714285714,0.7508771929824561,0.06490193790314176,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9809663250366032,0.9809663250366032,0.9765739385065886,0.9809384164222874,0.9750733137829912,0.9789036637570148,0.002559240597655342,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9566982408660352,0.959404600811908,0.9648173207036536,0.9634641407307172,0.9634146341463414,0.961559787451731,0.003031765334468881,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6761276068715492,0.7009164381168252,0.7617604901585112,0.7413174378239411,0.754832946516015,0.7269909838973684,0.033034242205155086,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
