,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '96.00±1.00', 'Val': '90.00±4.00'}","{'Train': '100.00±0.00', 'Val': '86.00±4.00'}","{'Train': '100.00±0.00', 'Val': '94.00±1.00'}","{'Train': '98.00±0.00', 'Val': '92.00±2.00'}","{'Train': '100.00±0.00', 'Val': '93.00±3.00'}"
Specificity,"{'Train': '99.00±0.00', 'Val': '95.00±3.00'}","{'Train': '100.00±0.00', 'Val': '93.00±6.00'}","{'Train': '100.00±0.00', 'Val': '87.00±4.00'}","{'Train': '100.00±0.00', 'Val': '94.00±3.00'}","{'Train': '100.00±0.00', 'Val': '92.00±5.00'}"
Accuracy,"{'Train': '97.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '89.00±2.00'}","{'Train': '100.00±0.00', 'Val': '90.00±2.00'}","{'Train': '99.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '93.00±2.00'}"
MCC,"{'Train': '0.95±0.01', 'Val': '0.86±0.04'}","{'Train': '1.00±0.00', 'Val': '0.79±0.05'}","{'Train': '1.00±0.00', 'Val': '0.81±0.03'}","{'Train': '0.98±0.01', 'Val': '0.86±0.03'}","{'Train': '1.00±0.00', 'Val': '0.85±0.04'}"
