number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
19,0.4941518456017623,0.3242902542155552,"[3, 5, 7]",0.0010787811979031234,Adam,"[128, 64, 32]"
2,0.6365013185936291,0.374651973341242,"[3, 5, 7]",2.7277048022441297e-06,Adam,"[128, 64, 32]"
10,0.7317626365249071,0.23267749624106193,"[3, 5, 7]",0.009043513116149185,Adam,"[128, 64, 32]"
14,0.7317626365249071,0.39867039337417765,"[3, 5, 7]",0.00033732299620541594,Adam,"[128, 64, 32]"
21,0.7394738666465356,0.3385859431244646,"[3, 5, 7]",7.102135556538097e-05,Adam,"[128, 64, 32]"
46,0.7746206829028982,0.41414402864739536,"[3, 5, 7]",0.00014612566123658669,Adam,"[128, 64, 32]"
82,0.7746206829028982,0.3145572545939248,"[3, 5, 7]",0.00013902264110721185,Adam,"[128, 64, 32]"
81,0.7746206829028982,0.30557376740684516,"[3, 5, 7]",0.00017121487685911425,Adam,"[128, 64, 32]"
80,0.7746206829028982,0.36957440992818297,"[3, 5, 7]",0.00010130277114624739,Adam,"[128, 64, 32]"
73,0.7746206829028982,0.3121606544615868,"[3, 5, 7]",0.00016244448275709345,Adam,"[128, 64, 32]"
94,0.7746206829028982,0.2910136203637958,"[3, 5, 7]",9.646454216576288e-05,Adam,"[128, 64, 32]"
42,0.7746206829028982,0.33100209763938426,"[3, 5, 7]",4.301565405858311e-05,Adam,"[128, 64, 32]"
4,0.7746206829028982,0.49984326933588474,"[3, 5, 7]",0.00012163461721676466,Adam,"[128, 64, 32]"
3,0.7746206829028982,0.327951427525584,"[3, 5, 7]",6.363581571535153e-05,Adam,"[128, 64, 32]"
91,0.7746206829028982,0.3195600089501522,"[3, 5, 7]",0.00011617656377059445,Adam,"[128, 64, 32]"
59,0.8103817627631204,0.41940072517386684,"[3, 5, 7]",5.989219757766908e-05,Adam,"[128, 64, 32]"
70,0.8103817627631204,0.3211078318298485,"[3, 5, 7]",8.809649485666448e-05,Adam,"[128, 64, 32]"
83,0.8103817627631204,0.31162243618247,"[3, 5, 7]",7.532355755740514e-05,Adam,"[128, 64, 32]"
84,0.8103817627631204,0.32594956585528784,"[3, 5, 7]",8.213829179044728e-05,Adam,"[128, 64, 32]"
0,0.8103817627631204,0.4559657186079971,"[3, 5, 7]",3.1233691578841975e-05,Adam,"[128, 64, 32]"
1,0.8468812149338254,0.27364219195775524,"[3, 5, 7]",0.0031621617630759307,Adam,"[128, 64, 32]"
