,svm,rf,knn,lr,mlp
svm,1.0,6.608094502506578e-17,2.2535049369874159e-10,2.6257635817891785e-30,4.5728461940776395e-30
rf,6.608094502506477e-17,1.0,4.416568625543067e-11,6.7751058598907985e-19,1.1421388660949346e-18
knn,2.2535049369874164e-10,4.4165686255430606e-11,1.0,3.4623414419259097e-11,2.2535049369874164e-10
lr,2.625763581789141e-30,6.775105859890858e-19,3.462341441925885e-11,1.0,2.625763581789141e-30
mlp,4.5728461940776395e-30,1.1421388660949361e-18,2.2535049369874159e-10,2.6257635817891785e-30,1.0
