,Sensitivity,Specificity,Accuracy,MCC
Train,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00
Val,1.00 ± 0.00,0.98 ± 0.02,1.00 ± 0.00,0.99 ± 0.01
