,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '94.00±3.00'}","{'Train': '100.00±0.00', 'Val': '81.00±4.00'}","{'Train': '98.00±1.00', 'Val': '96.00±3.00'}","{'Train': '100.00±0.00', 'Val': '92.00±4.00'}","{'Train': '100.00±0.00', 'Val': '92.00±4.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '92.00±2.00'}","{'Train': '100.00±0.00', 'Val': '97.00±1.00'}","{'Train': '71.00±2.00', 'Val': '42.00±9.00'}","{'Train': '100.00±0.00', 'Val': '94.00±1.00'}","{'Train': '100.00±0.00', 'Val': '94.00±1.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '90.00±2.00'}","{'Train': '83.00±1.00', 'Val': '67.00±6.00'}","{'Train': '100.00±0.00', 'Val': '93.00±2.00'}","{'Train': '100.00±0.00', 'Val': '93.00±2.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.87±0.03'}","{'Train': '1.00±0.00', 'Val': '0.80±0.05'}","{'Train': '0.70±0.02', 'Val': '0.44±0.10'}","{'Train': '1.00±0.00', 'Val': '0.86±0.04'}","{'Train': '1.00±0.00', 'Val': '0.86±0.04'}"
