,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '96.00±0.00', 'Val': '85.00±3.00'}","{'Train': '100.00±0.00', 'Val': '83.00±7.00'}","{'Train': '92.00±2.00', 'Val': '89.00±4.00'}","{'Train': '96.00±1.00', 'Val': '86.00±6.00'}","{'Train': '100.00±0.00', 'Val': '87.00±4.00'}"
Specificity,"{'Train': '98.00±0.00', 'Val': '89.00±3.00'}","{'Train': '100.00±0.00', 'Val': '86.00±3.00'}","{'Train': '74.00±2.00', 'Val': '68.00±3.00'}","{'Train': '97.00±1.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '89.00±3.00'}"
Accuracy,"{'Train': '97.00±0.00', 'Val': '87.00±2.00'}","{'Train': '100.00±0.00', 'Val': '84.00±2.00'}","{'Train': '83.00±2.00', 'Val': '78.00±3.00'}","{'Train': '96.00±1.00', 'Val': '88.00±4.00'}","{'Train': '100.00±0.00', 'Val': '88.00±3.00'}"
MCC,"{'Train': '0.94±0.01', 'Val': '0.74±0.04'}","{'Train': '1.00±0.00', 'Val': '0.69±0.05'}","{'Train': '0.67±0.03', 'Val': '0.58±0.07'}","{'Train': '0.93±0.01', 'Val': '0.76±0.07'}","{'Train': '1.00±0.00', 'Val': '0.76±0.06'}"
