,svm,rf,knn,lr,mlp
Sensitivity,"{'Train': '100.00±0.00', 'Val': '89.00±3.00'}","{'Train': '100.00±0.00', 'Val': '83.00±4.00'}","{'Train': '94.00±1.00', 'Val': '86.00±1.00'}","{'Train': '100.00±0.00', 'Val': '90.00±3.00'}","{'Train': '100.00±0.00', 'Val': '91.00±3.00'}"
Specificity,"{'Train': '100.00±0.00', 'Val': '92.00±3.00'}","{'Train': '100.00±0.00', 'Val': '91.00±3.00'}","{'Train': '89.00±1.00', 'Val': '73.00±5.00'}","{'Train': '100.00±0.00', 'Val': '91.00±3.00'}","{'Train': '100.00±0.00', 'Val': '92.00±2.00'}"
Accuracy,"{'Train': '100.00±0.00', 'Val': '90.00±2.00'}","{'Train': '100.00±0.00', 'Val': '87.00±3.00'}","{'Train': '92.00±1.00', 'Val': '80.00±3.00'}","{'Train': '100.00±0.00', 'Val': '91.00±2.00'}","{'Train': '100.00±0.00', 'Val': '92.00±1.00'}"
MCC,"{'Train': '1.00±0.00', 'Val': '0.81±0.04'}","{'Train': '1.00±0.00', 'Val': '0.74±0.06'}","{'Train': '0.83±0.02', 'Val': '0.60±0.06'}","{'Train': '1.00±0.00', 'Val': '0.82±0.04'}","{'Train': '1.00±0.00', 'Val': '0.83±0.03'}"
