,svm,rf,knn,lr,mlp
svm,1.0,7.190063725083061e-18,1.3731470140801409e-14,7.490369391414907e-32,8.751486932074465e-25
rf,7.190063725083007e-18,1.0,3.3909819301066147e-16,1.1787904941473189e-18,2.3780826113687915e-16
knn,1.3731470140801427e-14,3.390981930106639e-16,1.0,1.969212558963712e-15,4.863845838199803e-13
lr,7.4903693914148e-32,1.1787904941473193e-18,1.969212558963694e-15,1.0,3.454077107087138e-26
mlp,8.75148693207435e-25,2.3780826113688255e-16,4.863845838199763e-13,3.454077107087138e-26,1.0
