mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.22156820297241211,0.001053788851613981,0.0068648338317871095,0.00012180566038709507,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9375,0.9183673469387755,0.7916666666666666,0.8333333333333334,0.75,0.8461734693877551,0.07202456247749127,3,0.9844559585492227,0.984375,0.9844559585492227,1.0,0.9844559585492227,0.9875485751295336,0.006225791393005459,0.8596491228070176,0.875,0.9464285714285714,0.9285714285714286,0.9464285714285714,0.9112155388471178,0.036747252285021986,10,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8952380952380953,0.8952380952380953,0.875,0.8846153846153846,0.8557692307692307,0.881172161172161,0.014771331941065006,6,0.9904076738609112,0.9928057553956835,0.992822966507177,1.0,0.992822966507177,0.9937718724541897,0.0032508962476580686,0.794251442832799,0.7916382478684852,0.7529477373319424,0.768799968166877,0.7171371656006361,0.7649549123601479,0.02834000953795568,6,0.9807405810714529,0.9856077806959628,0.9856483098314404,1.0,0.9856483098314404,0.9875289962860592,0.006517262418896858
0.4406632900238037,0.0034442263342585504,0.011119794845581055,0.0009216048806599564,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9166666666666666,0.9387755102040817,0.7916666666666666,0.8333333333333334,0.7291666666666666,0.841921768707483,0.07782094390633212,10,0.9844559585492227,0.9947916666666666,0.9948186528497409,1.0,0.9844559585492227,0.9917044473229705,0.006214926750376464,0.8421052631578947,0.8571428571428571,0.9464285714285714,0.9285714285714286,0.9464285714285714,0.9041353383458647,0.04523401629775638,21,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8761904761904762,0.8952380952380953,0.875,0.8846153846153846,0.8461538461538461,0.8754395604395604,0.016337612301336592,14,0.9904076738609112,0.9976019184652278,0.9976076555023924,1.0,0.992822966507177,0.9956880428671416,0.003522265355715238,0.7560137530127882,0.7944720307577832,0.7529477373319424,0.768799968166877,0.6994190322031816,0.7543305042945144,0.031115021033296723,15,0.9807405810714529,0.9951833668366441,0.9951968651495559,1.0,0.9856483098314404,0.9913538245778186,0.007062358535586195
0.8769253730773926,0.009038897797999296,0.0192258358001709,0.0007112376680476516,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.9166666666666666,0.9183673469387755,0.7708333333333334,0.8125,0.6875,0.821173469387755,0.0883669116211594,23,0.9948186528497409,0.9947916666666666,1.0,1.0,0.9896373056994818,0.9958495250431778,0.0038788223917205363,0.8245614035087719,0.8392857142857143,0.9464285714285714,0.9285714285714286,0.9285714285714286,0.8934837092731831,0.05089825421820022,25,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8666666666666667,0.8761904761904762,0.8653846153846154,0.875,0.8173076923076923,0.86010989010989,0.0218318244930307,25,0.9952038369304557,0.9976019184652278,1.0,1.0,0.9952153110047847,0.9976042132800936,0.0021423470298535833,0.7388017852034616,0.7562762600482743,0.7349747424393641,0.7501974033551911,0.6415159177578547,0.7243532217608292,0.0421203008473244,25,0.9903543671354552,0.9951833668366441,1.0,1.0,0.9904130624560782,0.9951901592856356,0.004300574877180769
0.22180609703063964,0.0025118016256628056,0.006805038452148438,0.00033089700849909235,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9166666666666666,0.9183673469387755,0.7916666666666666,0.7708333333333334,0.7291666666666666,0.8253401360544219,0.07790869971466927,21,0.9896373056994818,0.984375,0.9896373056994818,0.9948186528497409,0.9792746113989638,0.9875485751295336,0.005293574893455395,0.8596491228070176,0.8214285714285714,0.9464285714285714,0.9285714285714286,0.9107142857142857,0.8933583959899749,0.04619056798253492,26,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8857142857142857,0.8666666666666667,0.875,0.8557692307692307,0.8269230769230769,0.862014652014652,0.020111474680193735,24,0.9928057553956835,0.9928057553956835,0.9952153110047847,0.9976076555023924,0.9904306220095693,0.9937730198616226,0.002442435617765713,0.7734938397876503,0.738988427584557,0.7529477373319424,0.7134787027137357,0.6556828615122957,0.7269183137860363,0.040614310202162766,24,0.9855378313363354,0.9856077806959628,0.9904130624560782,0.9951968651495559,0.9809023284772456,0.9875315736230356,0.004872012947776409
0.43957982063293455,0.00420695101101042,0.010799741744995118,0.0003992421898382818,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9166666666666666,0.9183673469387755,0.7916666666666666,0.7708333333333334,0.7083333333333334,0.821173469387755,0.08331059664836304,23,0.9896373056994818,0.9895833333333334,0.9896373056994818,1.0,0.9844559585492227,0.9906627806563041,0.005078911498312423,0.8421052631578947,0.8035714285714286,0.9464285714285714,0.9285714285714286,0.9107142857142857,0.8862781954887218,0.05439772980634504,27,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8761904761904762,0.8571428571428571,0.875,0.8557692307692307,0.8173076923076923,0.8562820512820514,0.021291837006762546,27,0.9928057553956835,0.9952038369304557,0.9952153110047847,1.0,0.992822966507177,0.9952095739676201,0.0026238325516664976,0.7560137530127882,0.7219387755102041,0.7529477373319424,0.7134787027137357,0.6374552583116766,0.7163668453760693,0.04284032046546963,27,0.9855378313363354,0.99038605475084,0.9904130624560782,1.0,0.9856483098314404,0.990397051674939,0.0052607901537038634
0.877155065536499,0.008736472123001717,0.019361591339111327,0.0011738228043219274,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9166666666666666,0.8979591836734694,0.7708333333333334,0.7916666666666666,0.6666666666666666,0.8087585034013605,0.09112790191219379,27,0.9948186528497409,0.9947916666666666,1.0,1.0,0.9844559585492227,0.994813255613126,0.005675891689457247,0.8596491228070176,0.8214285714285714,0.9464285714285714,0.9464285714285714,0.9285714285714286,0.900501253132832,0.05084871173371169,24,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8857142857142857,0.8571428571428571,0.8653846153846154,0.875,0.8076923076923077,0.8581868131868132,0.026992733394011488,26,0.9952038369304557,0.9976019184652278,1.0,1.0,0.992822966507177,0.9971257443805721,0.0027913100209440915,0.7734938397876503,0.7180804893387656,0.7349747424393641,0.7529477373319424,0.6237343238042664,0.7206462265403977,0.051846049208285123,26,0.9903543671354552,0.9951833668366441,1.0,1.0,0.9856483098314404,0.994237208760708,0.005588566627391157
0.21865930557250976,0.0017815000402191764,0.006645631790161133,0.000301615141662899,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9166666666666666,0.8775510204081632,0.7291666666666666,0.8333333333333334,0.7291666666666666,0.8171768707482994,0.07654525559075873,25,0.9792746113989638,0.9895833333333334,0.9792746113989638,1.0,0.9792746113989638,0.985481433506045,0.00828478457462061,0.8771929824561403,0.7857142857142857,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9040100250626567,0.06720508267547538,22,0.9955357142857143,1.0,1.0,0.9955555555555555,1.0,0.998218253968254,0.002182193334712349,0.8952380952380953,0.8285714285714286,0.8557692307692307,0.8846153846153846,0.8557692307692307,0.863992673992674,0.023628318629654418,22,0.988009592326139,0.9952038369304557,0.9904306220095693,0.9976076555023924,0.9904306220095693,0.9923364657556251,0.003521180860002108,0.7912610835611038,0.6625413488689131,0.7220927963168122,0.768799968166877,0.7220927963168122,0.7333575986461037,0.044447064915672775,22,0.9759623305034757,0.99038605475084,0.9809023284772456,0.9952003948390211,0.9809023284772456,0.9846706874095655,0.007039555390577908
0.4353527069091797,0.006542613286140785,0.010816669464111328,0.0004009259926695612,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9166666666666666,0.9183673469387755,0.7708333333333334,0.8125,0.7291666666666666,0.8295068027210885,0.07654147693098814,18,0.9792746113989638,0.9947916666666666,0.9844559585492227,1.0,0.9844559585492227,0.9885956390328152,0.007610593573076852,0.8771929824561403,0.8214285714285714,0.9642857142857143,0.9285714285714286,0.9464285714285714,0.9075814536340852,0.051982360619169284,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8952380952380953,0.8666666666666667,0.875,0.875,0.8461538461538461,0.8716117216117215,0.01583491953149282,19,0.9904076738609112,0.9976019184652278,0.992822966507177,1.0,0.992822966507177,0.9947311050680986,0.0035207063581953607,0.7912610835611038,0.738988427584557,0.7569781192451159,0.7501974033551911,0.6994190322031816,0.7473688131898298,0.029652262790867585,21,0.9808640859255838,0.9951833668366441,0.9856483098314404,1.0,0.9856483098314404,0.9894688144850218,0.0070256080466818095
0.8681119441986084,0.007363290479437986,0.019253110885620116,0.0010524223713900007,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.9166666666666666,0.8979591836734694,0.7708333333333334,0.7916666666666666,0.6875,0.8129251700680271,0.08479174672046257,26,0.9896373056994818,0.9895833333333334,0.9844559585492227,1.0,0.9792746113989638,0.9885902417962005,0.006872240152264931,0.8596491228070176,0.8392857142857143,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.9076441102756894,0.04924804058485834,13,0.9955357142857143,1.0,1.0,1.0,1.0,0.9991071428571429,0.0017857142857142794,0.8857142857142857,0.8666666666666667,0.875,0.875,0.8173076923076923,0.863937728937729,0.02408640082868297,23,0.9928057553956835,0.9952038369304557,0.992822966507177,1.0,0.9904306220095693,0.9942526361685771,0.0032459878448170224,0.7734938397876503,0.7356381145787532,0.7569781192451159,0.7529477373319424,0.6415159177578547,0.7321147457402633,0.046872149651240425,23,0.9855378313363354,0.99038605475084,0.9856483098314404,1.0,0.9809023284772456,0.9884949048791724,0.006487499754127385
0.2666495323181152,0.002217392121417643,0.0067840576171875,0.00022333459243500793,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9375,0.9387755102040817,0.8125,0.8125,0.7708333333333334,0.8544217687074831,0.07002776896430978,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8596491228070176,0.8214285714285714,0.9642857142857143,0.9464285714285714,0.9464285714285714,0.9076441102756891,0.056486065749854056,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8952380952380953,0.8761904761904762,0.8942307692307693,0.8846153846153846,0.8653846153846154,0.8831318681318681,0.011270271191648343,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.794251442832799,0.7602040816326531,0.792416771950149,0.7710721996440137,0.7349747424393641,0.7705838476997958,0.02196733051319597,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
