number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
2,0.4903042861630642,0.34546820935075406,"[3, 5, 7]",1.6020994704705605e-06,Adam,"[128, 64, 32]"
4,0.521749194749951,0.48641554560245953,"[3, 5, 7]",1.9979967714143414e-06,Adam,"[128, 64, 32]"
55,0.5728918992315463,0.22781250961931646,"[3, 5, 7]",0.0017300180028682667,Adam,"[128, 64, 32]"
44,0.5825517280354631,0.2487990477534578,"[3, 5, 7]",0.0022216884672803918,Adam,"[128, 64, 32]"
23,0.5850179393017045,0.4215211606005564,"[3, 5, 7]",0.002043529612561427,Adam,"[128, 64, 32]"
39,0.5850179393017045,0.2804330428167475,"[3, 5, 7]",0.001461092739390868,Adam,"[128, 64, 32]"
94,0.6170609073445336,0.25193828642621513,"[3, 5, 7]",0.00988251643241687,Adam,"[128, 64, 32]"
3,0.6170609073445336,0.29111025102961335,"[3, 5, 7]",1.8443771409757574e-05,Adam,"[128, 64, 32]"
7,0.6445033866354896,0.2987289537174215,"[3, 5, 7]",0.006493278716897126,Adam,"[128, 64, 32]"
19,0.649519052838329,0.330797659153549,"[3, 5, 7]",0.000870893100754403,Adam,"[128, 64, 32]"
86,0.6825001477017446,0.2759637262382205,"[3, 5, 7]",0.0002517602657997025,Adam,"[128, 64, 32]"
85,0.6825001477017446,0.32200087902649516,"[3, 5, 7]",0.00040318564162381297,Adam,"[128, 64, 32]"
82,0.6825001477017446,0.3385906348284872,"[3, 5, 7]",0.000671274036639781,Adam,"[128, 64, 32]"
62,0.6825001477017446,0.40616355011159583,"[3, 5, 7]",0.0008066033029300815,Adam,"[128, 64, 32]"
43,0.6825001477017446,0.2278945487035474,"[3, 5, 7]",0.0007458930949667525,Adam,"[128, 64, 32]"
41,0.6825001477017446,0.23422439495255218,"[3, 5, 7]",0.0004502198545372061,Adam,"[128, 64, 32]"
0,0.6825001477017446,0.41079624299942863,"[3, 5, 7]",0.0003675735072008279,Adam,"[128, 64, 32]"
91,0.6825001477017446,0.24474943397452936,"[3, 5, 7]",0.00034016916943006327,Adam,"[128, 64, 32]"
21,0.6825001477017446,0.41295387441159226,"[3, 5, 7]",0.0002209808896675663,Adam,"[128, 64, 32]"
15,0.6825001477017446,0.2580486623307661,"[3, 5, 7]",0.009656960801105346,Adam,"[128, 64, 32]"
14,0.6825001477017446,0.23297335077352355,"[3, 5, 7]",0.00043691868741362803,Adam,"[128, 64, 32]"
1,0.6825001477017446,0.31306416258705505,"[3, 5, 7]",3.335622187236585e-05,Adam,"[128, 64, 32]"
25,0.6825001477017446,0.3434845727208083,"[3, 5, 7]",0.0005977696904561382,Adam,"[128, 64, 32]"
22,0.6825001477017446,0.36500836707380574,"[3, 5, 7]",0.0012774897613844528,Adam,"[128, 64, 32]"
8,0.7216878364870323,0.22841070169224387,"[3, 5, 7]",0.006508300755217755,Adam,"[128, 64, 32]"
9,0.7312724241271307,0.3599010868012289,"[3, 5, 7]",0.005289850983941991,Adam,"[128, 64, 32]"
